symbol,date,open,high,low,close,volume,change,changePercent,vwap
ORLY,2025-04-04,1442.52,1454.07,1398.94,1407.6,829656,-34.92,-2.42076,1420.2
ORLY,2025-04-03,1405.42,1458.37,1403.75,1441.89,536573,36.47,2.59,1427.3575
ORLY,2025-04-02,1424.26,1438.43,1416.33,1417.01,398337,-7.25,-0.50904,1424.0075
ORLY,2025-04-01,1425.5,1436.9,1421.01,1431.8,370115,6.3,0.44195,1428.8025
ORLY,2025-03-31,1417.36,1450.0,1417.36,1432.58,505741,15.22,1.07,1429.325
ORLY,2025-03-28,1417.25,1426.86,1397.11,1408.55,404400,-8.7,-0.61386,1412.4425
ORLY,2025-03-27,1392.9,1433.68,1391.52,1423.62,447940,30.72,2.21,1410.43
ORLY,2025-03-26,1376.94,1391.79,1372.6,1380.98,325184,4.04,0.2934,1380.5775
ORLY,2025-03-25,1359.04,1377.62,1356.66,1375.48,293823,16.44,1.21,1367.2
ORLY,2025-03-24,1347.98,1365.66,1345.79,1362.74,279544,14.76,1.09,1355.5425
ORLY,2025-03-21,1333.07,1341.43,1328.72,1339.09,510380,6.02,0.45159,1335.5775
ORLY,2025-03-20,1334.24,1350.82,1328.71,1343.15,273200,8.91,0.6678,1339.23
ORLY,2025-03-19,1346.03,1354.71,1329.79,1340.09,297106,-5.94,-0.4413,1342.655
ORLY,2025-03-18,1341.3,1351.0,1331.52,1338.75,262100,-2.55,-0.19011,1340.6425
ORLY,2025-03-17,1327.41,1355.44,1325.9,1347.99,409043,20.58,1.55,1339.185
ORLY,2025-03-14,1303.14,1328.97,1287.47,1327.41,318316,24.27,1.86,1311.7475
ORLY,2025-03-13,1301.78,1311.48,1283.28,1289.49,326488,-12.29,-0.94409,1296.5075
ORLY,2025-03-12,1320.46,1322.95,1295.97,1309.29,319185,-11.17,-0.84592,1312.1675
ORLY,2025-03-11,1346.58,1356.77,1312.78,1324.06,403483,-22.52,-1.67,1335.0475
ORLY,2025-03-10,1320.58,1352.37,1320.58,1346.58,465047,26.0,1.97,1335.0275
ORLY,2025-03-07,1336.33,1336.33,1291.42,1319.01,366300,-17.32,-1.3,1320.7725
ORLY,2025-03-06,1335.59,1350.69,1320.01,1331.06,445456,-4.53,-0.33918,1334.3375
ORLY,2025-03-05,1348.11,1364.21,1332.81,1339.67,417300,-8.44,-0.62606,1346.2
ORLY,2025-03-04,1376.01,1389.05,1353.54,1356.77,479207,-19.24,-1.4,1368.8425
ORLY,2025-03-03,1382.15,1386.36,1365.98,1375.99,455249,-6.16,-0.44568,1377.62
ORLY,2025-02-28,1361.85,1378.76,1351.74,1373.64,366054,11.79,0.86573,1366.4975
ORLY,2025-02-27,1335.0,1359.19,1334.38,1353.46,408065,18.46,1.38,1345.5075
ORLY,2025-02-26,1345.5,1346.77,1323.43,1330.42,318558,-15.08,-1.12,1336.53
ORLY,2025-02-25,1320.98,1348.99,1320.01,1346.58,409158,25.6,1.94,1334.14
ORLY,2025-02-24,1311.61,1316.07,1305.45,1314.91,375124,3.3,0.2516,1312.01
ORLY,2025-02-21,1314.29,1314.29,1297.87,1303.41,275109,-10.88,-0.82782,1307.465
ORLY,2025-02-20,1295.16,1312.85,1293.08,1312.44,278212,17.28,1.33,1303.3825
ORLY,2025-02-19,1294.1,1302.49,1292.75,1295.8,233022,1.7,0.13137,1296.285
ORLY,2025-02-18,1312.08,1312.08,1285.16,1295.82,377947,-16.26,-1.24,1301.285
ORLY,2025-02-14,1340.66,1340.66,1317.79,1318.8,344600,-21.86,-1.63,1329.4775
ORLY,2025-02-13,1331.68,1340.89,1326.52,1335.68,249942,4.0,0.30037,1333.6925
ORLY,2025-02-12,1318.18,1329.26,1310.13,1324.3,205508,6.13,0.46428,1320.4675
ORLY,2025-02-11,1311.73,1324.99,1300.1,1323.94,391500,12.21,0.93083,1315.19
