symbol,date,open,high,low,close,volume,change,changePercent,vwap
PANW,2025-04-04,158.58,160.8411,153.57,154.48,6883455,-4.1,-2.58545,156.3
PANW,2025-04-03,165.43,168.69,163.19,165.17,7352635,-0.26,-0.15717,165.62
PANW,2025-04-02,168.27,174.74,168.27,173.18,3371834,4.91,2.92,171.115
PANW,2025-04-01,168.52,171.89,166.83,171.31,4037300,2.79,1.66,169.6375
PANW,2025-03-31,169.57,171.02,165.88,170.64,5888637,1.07,0.63101,169.2775
PANW,2025-03-28,173.91,174.89,170.77,172.76,6249900,-1.15,-0.66126,173.0825
PANW,2025-03-27,182.7,183.09,173.56,174.44,7156303,-8.25,-4.52,178.4475
PANW,2025-03-26,189.67,191.0,184.73,184.96,3412915,-4.71,-2.48,187.59
PANW,2025-03-25,184.79,190.1,184.51,189.95,5343400,5.16,2.79,187.3375
PANW,2025-03-24,186.0,186.49,183.86,184.79,3758128,-1.21,-0.65054,185.285
PANW,2025-03-21,181.72,183.6,179.72,182.32,8565900,0.6,0.33018,181.84
PANW,2025-03-20,185.59,188.85,183.83,184.01,4395000,-1.58,-0.85134,185.57
PANW,2025-03-19,183.1,189.67,182.6,187.54,3476804,4.44,2.42,185.7275
PANW,2025-03-18,182.95,184.35,180.94,183.1,2791036,0.15,0.08198961,182.835
PANW,2025-03-17,183.5,186.16,182.01,185.0,3231100,1.5,0.81744,184.1675
PANW,2025-03-14,178.87,183.05,178.49,182.34,3563630,3.47,1.94,180.6875
PANW,2025-03-13,178.38,178.77,174.31,176.32,3823706,-2.06,-1.15,176.945
PANW,2025-03-12,183.64,184.16,178.0,179.48,4472826,-4.16,-2.27,181.32
PANW,2025-03-11,173.79,182.39,172.75,178.93,5523700,5.14,2.96,176.965
PANW,2025-03-10,177.6,177.74,172.62,173.83,6307400,-3.77,-2.12,175.4475
PANW,2025-03-07,177.92,182.0,173.89,180.93,4808545,3.01,1.69,178.685
PANW,2025-03-06,180.3,184.13,178.54,179.33,4292600,-0.97,-0.53799,180.575
PANW,2025-03-05,182.45,185.27,180.12,184.28,4539249,1.83,1.0,183.03
PANW,2025-03-04,182.29,186.59,178.9,184.38,5197425,2.09,1.15,183.04
PANW,2025-03-03,191.5,193.66,182.26,183.68,5120800,-7.82,-4.08,187.775
PANW,2025-02-28,187.89,191.01,187.39,190.43,5190538,2.54,1.35,189.18
PANW,2025-02-27,191.38,193.4,186.7,187.5,4714100,-3.88,-2.03,189.745
PANW,2025-02-26,189.37,192.31,188.45,189.55,2646000,0.18,0.09505201,189.92
PANW,2025-02-25,189.29,189.74,184.65,188.01,5474849,-1.28,-0.67621,187.9225
PANW,2025-02-24,191.65,193.0,188.0,190.39,4142300,-1.26,-0.65745,190.76
PANW,2025-02-21,199.12,199.26,190.26,191.03,5457100,-8.09,-4.06,194.9175
PANW,2025-02-20,203.83,203.97,194.83,198.81,5878700,-5.02,-2.46,200.36
PANW,2025-02-19,208.19,208.39,202.77,205.19,5626807,-3.0,-1.44,206.135
PANW,2025-02-18,197.7,208.35,197.7,208.28,9069304,10.58,5.35,203.0075
PANW,2025-02-14,192.0,201.33,188.75,200.03,13989015,8.03,4.18,195.5275
PANW,2025-02-13,199.16,202.41,195.35,201.88,13223000,2.72,1.37,199.7
PANW,2025-02-12,194.0,197.33,191.82,196.73,4172500,2.73,1.41,194.97
PANW,2025-02-11,198.15,199.18,194.4,195.49,5664800,-2.66,-1.34,196.805
PANW,2025-02-10,196.5,198.74,195.5,196.4,5113200,-0.1,-0.05089059,196.785
PANW,2025-02-07,191.23,197.66,191.0,193.94,6345800,2.72,1.42,193.4575
PANW,2025-02-06,187.71,188.97,186.38,187.37,3634148,-0.34,-0.18113,187.6075
PANW,2025-02-05,183.94,187.11,183.05,186.85,3823501,2.91,1.58,185.2375
PANW,2025-02-04,181.31,184.9,180.93,183.4,5554023,2.09,1.15,182.635
PANW,2025-02-03,181.56,184.24,180.12,182.79,6448305,1.23,0.67746,182.1775
PANW,2025-01-31,188.83,189.16,184.37,184.42,4833500,-4.41,-2.34,186.695
PANW,2025-01-30,186.04,189.14,185.65,187.42,4451200,1.38,0.74178,187.0625
PANW,2025-01-29,192.94,193.01,185.06,185.42,6847800,-7.52,-3.9,189.1075
PANW,2025-01-28,188.66,197.74,186.57,192.94,8753534,4.28,2.27,191.4775
PANW,2025-01-27,185.09,192.43,183.56,189.3,6113141,4.21,2.27,187.595
PANW,2025-01-24,187.83,190.93,186.87,187.7,3093900,-0.13,-0.06921152,188.3325
PANW,2025-01-23,187.02,187.75,185.04,187.32,5490939,0.3,0.16041,186.7825
PANW,2025-01-22,185.28,188.97,182.57,187.7,5517923,2.42,1.31,186.13
PANW,2025-01-21,181.09,186.15,180.53,183.51,6421700,2.42,1.34,182.82
PANW,2025-01-17,181.12,181.35,177.0,177.11,5500400,-4.01,-2.21,179.145
PANW,2025-01-16,176.0,178.95,173.58,177.17,6635602,1.17,0.66477,176.425
PANW,2025-01-15,173.33,175.95,172.79,174.19,7705800,0.86,0.49616,174.065
PANW,2025-01-14,168.3,170.66,166.4,170.58,4914933,2.28,1.35,168.985
PANW,2025-01-13,169.77,170.53,166.21,167.82,7402337,-1.95,-1.15,168.5825
PANW,2025-01-10,171.8,175.24,171.19,173.42,5727200,1.62,0.94296,172.9125
PANW,2025-01-08,169.38,173.11,167.26,172.83,11015200,3.45,2.04,170.645
PANW,2025-01-07,177.52,178.17,173.18,175.51,6492400,-2.01,-1.13,176.095
PANW,2025-01-06,182.35,182.79,176.65,179.5,7109536,-2.85,-1.56,180.3225
PANW,2025-01-03,181.26,184.8,180.41,183.25,4277552,1.99,1.1,182.43
PANW,2025-01-02,184.5,184.63,178.82,180.74,4540191,-3.76,-2.04,182.1725
PANW,2024-12-31,185.38,185.81,181.26,181.96,3270113,-3.42,-1.84,183.6025
PANW,2024-12-30,183.81,185.61,181.9,184.2,2737916,0.39,0.21218,183.88
PANW,2024-12-27,186.37,187.01,183.2,186.18,2911301,-0.19,-0.10195,185.69
PANW,2024-12-26,188.51,189.48,187.63,188.5,2114145,-0.01,-0.00530476,188.53
PANW,2024-12-24,187.94,189.51,186.65,189.51,1471000,1.57,0.83537,188.4025
PANW,2024-12-23,187.3,189.52,186.5,188.22,3897545,0.92,0.49119,187.885
PANW,2024-12-20,186.58,192.86,185.01,186.78,13346442,0.2,0.10719,187.8075
PANW,2024-12-19,194.44,195.3,188.5,189.36,5488804,-5.08,-2.61,191.9
PANW,2024-12-18,201.0,202.0,186.54,188.76,6397545,-12.24,-6.09,194.575
PANW,2024-12-17,202.33,207.24,199.0,201.24,5429900,-1.09,-0.53872,202.4525
PANW,2024-12-16,198.15,203.0,195.5,202.5,6087000,4.35,2.2,199.7875
PANW,2024-12-13,200.25,201.25,196.18,196.56,3848816,-3.69,-1.84,198.56
PANW,2024-12-12,198.55,201.7,197.76,200.11,3286016,1.55,0.7857,199.53
PANW,2024-12-11,195.32,199.43,195.32,199.21,3376400,3.9,1.99,197.32
PANW,2024-12-10,195.76,198.22,193.87,194.88,3492216,-0.88,-0.44953,195.6825
PANW,2024-12-09,203.5,205.11,194.07,194.47,5073400,-9.03,-4.44,199.2875
PANW,2024-12-06,202.58,204.58,201.31,202.95,3959200,0.375,0.18264,202.855
PANW,2024-12-05,202.0,203.75,200.79,201.52,3390050,-0.485,-0.23762,202.015
PANW,2024-12-04,198.23,203.39,196.3,202.29,5430600,4.06,2.05,200.0525
PANW,2024-12-03,194.04,197.88,193.43,196.3,5162492,2.26,1.16,195.4125
PANW,2024-12-02,195.12,196.16,193.26,195.09,4649200,-0.035,-0.01537515,194.9075
PANW,2024-11-29,193.13,194.61,191.73,193.91,2086668,0.785,0.40387,193.345
PANW,2024-11-27,196.86,196.96,191.39,192.19,9251800,-4.67,-2.37,194.35
PANW,2024-11-26,194.72,198.61,194.32,198.2,5721200,3.48,1.79,196.4625
PANW,2024-11-25,193.98,198.08,191.59,193.19,8691800,-0.79,-0.40726,194.21
PANW,2024-11-22,196.31,197.01,187.6,191.68,12644820,-4.63,-2.36,193.15
PANW,2024-11-21,193.1,202.0,190.28,198.85,14867600,5.75,2.98,196.0575
PANW,2024-11-20,194.78,197.46,191.97,196.45,11057200,1.66,0.85738,195.165
PANW,2024-11-19,192.6,194.52,191.52,194.03,4756418,1.43,0.74247,193.1675
PANW,2024-11-18,196.5,196.69,192.87,193.42,4466816,-3.09,-1.57,194.87
PANW,2024-11-15,194.72,196.25,192.79,193.5,4408174,-1.22,-0.62654,194.315
PANW,2024-11-14,201.06,201.58,197.02,197.2,4857792,-3.86,-1.92,199.215
PANW,2024-11-13,199.64,204.27,198.66,201.18,3929470,1.54,0.77139,200.9375
PANW,2024-11-12,197.88,199.66,196.99,199.01,3702848,1.13,0.57105,198.385
PANW,2024-11-11,197.83,200.35,196.85,199.05,3760964,1.22,0.61669,198.52
PANW,2024-11-08,194.5,196.61,192.14,195.7,4116550,1.2,0.61697,194.7375
PANW,2024-11-07,189.3,193.61,188.11,193.5,4210648,4.21,2.22,191.13
PANW,2024-11-06,189.0,193.1,188.0,192.59,5031460,3.59,1.9,190.6725
PANW,2024-11-05,182.25,184.25,181.1,183.15,2707480,0.9,0.49383,182.6875
PANW,2024-11-04,180.33,181.94,178.0,180.56,3064824,0.235,0.12754,180.2075
PANW,2024-11-01,179.52,182.89,178.55,181.32,5852550,1.81,1.0,180.57
PANW,2024-10-31,182.34,184.69,179.1,180.17,4063962,-2.18,-1.19,181.575
PANW,2024-10-30,182.17,183.94,179.34,179.76,2940410,-2.41,-1.32,181.3025
PANW,2024-10-29,180.89,183.74,178.9,182.7,4410280,1.81,1.0,181.5575
PANW,2024-10-28,184.0,184.46,180.72,181.18,3127344,-2.82,-1.53,182.59
PANW,2024-10-25,183.87,186.2,182.87,183.22,2694346,-0.645,-0.35351,184.04
PANW,2024-10-24,180.35,183.26,180.08,182.29,2969736,1.94,1.08,181.495
PANW,2024-10-23,186.78,187.07,178.79,179.1,5402252,-7.69,-4.11,182.935
PANW,2024-10-22,187.36,189.64,185.66,188.05,3167442,0.69,0.36827,187.6775
PANW,2024-10-21,187.49,192.0,186.52,189.21,4362502,1.72,0.91738,188.805
PANW,2024-10-18,186.61,188.0,186.32,187.42,2899926,0.81,0.43406,187.0875
PANW,2024-10-17,186.0,189.87,185.17,188.08,3095228,2.07,1.12,187.28
PANW,2024-10-16,187.22,187.27,183.7,186.62,6166874,-0.605,-0.32048,186.2025
PANW,2024-10-15,186.53,188.16,185.01,187.22,7457928,0.695,0.36991,186.73
PANW,2024-10-14,188.5,188.57,184.9,186.96,2989762,-1.54,-0.81698,187.2325
PANW,2024-10-11,184.51,189.17,184.48,186.6,4596038,2.09,1.13,186.19
PANW,2024-10-10,180.0,184.9,180.0,184.7,4452386,4.7,2.61,182.4
PANW,2024-10-09,177.57,181.78,177.5,181.44,4918456,3.87,2.18,179.5725
PANW,2024-10-08,172.7,178.5,172.5,177.57,6637000,4.87,2.82,175.3175
PANW,2024-10-07,170.31,172.78,168.41,168.97,4799128,-1.34,-0.7868,170.1175
PANW,2024-10-04,171.0,171.48,167.8,171.18,4074118,0.18,0.10526,170.365
PANW,2024-10-03,164.98,168.35,164.46,167.97,4020694,2.99,1.81,166.44
PANW,2024-10-02,165.28,168.81,164.28,166.07,4105222,0.79,0.47798,166.11
PANW,2024-10-01,170.8,170.89,164.13,164.65,5405958,-6.16,-3.6,167.6175
PANW,2024-09-30,167.59,171.72,167.5,170.9,5140798,3.31,1.98,169.4275
PANW,2024-09-27,169.44,169.98,167.25,167.88,3519162,-1.56,-0.92068,168.6375
PANW,2024-09-26,171.78,172.14,167.65,169.37,5054372,-2.41,-1.4,170.235
PANW,2024-09-25,171.72,172.5,169.18,170.26,3576524,-1.46,-0.85022,170.915
PANW,2024-09-24,172.52,172.94,169.26,171.76,4520998,-0.76,-0.44053,171.62
PANW,2024-09-23,169.82,172.68,168.59,172.09,4410480,2.27,1.34,170.795
PANW,2024-09-20,166.5,170.53,166.17,170.06,7552534,3.56,2.14,168.315
PANW,2024-09-19,168.95,169.59,166.2,166.8,4807658,-2.15,-1.27,167.885
