symbol,date,open,high,low,close,volume,change,changePercent,vwap
PAYX,2025-04-04,152.84,153.0,144.202,144.305,1997148,-8.53,-5.58427,147.17
PAYX,2025-04-03,154.91,155.58,152.48,153.53,2606834,-1.38,-0.89084,154.125
PAYX,2025-04-02,154.38,155.26,153.15,154.94,1422500,0.56,0.36274,154.4325
PAYX,2025-04-01,154.07,155.16,152.96,154.59,1941092,0.52,0.33751,154.195
PAYX,2025-03-31,151.4,154.71,151.4,154.28,2910733,2.88,1.9,152.9475
PAYX,2025-03-28,152.32,152.88,150.1,151.03,2419752,-1.29,-0.8469,151.5825
PAYX,2025-03-27,149.48,152.13,147.59,151.83,2640533,2.35,1.57,150.2575
PAYX,2025-03-26,148.81,153.12,144.52,150.19,4430500,1.38,0.92736,149.16
PAYX,2025-03-25,144.78,145.79,143.23,144.13,3388000,-0.65,-0.44896,144.4825
PAYX,2025-03-24,143.63,145.17,143.33,144.83,2153500,1.2,0.83548,144.24
PAYX,2025-03-21,144.12,144.54,142.01,143.02,4764681,-1.1,-0.76325,143.4225
PAYX,2025-03-20,146.74,147.44,145.03,145.23,1464068,-1.51,-1.03,146.11
PAYX,2025-03-19,147.01,147.9,146.15,147.53,1722335,0.52,0.35372,147.1475
PAYX,2025-03-18,146.47,147.53,145.62,146.99,1351132,0.52,0.35502,146.6525
PAYX,2025-03-17,144.91,148.44,144.48,147.99,1897010,3.08,2.13,146.455
PAYX,2025-03-14,143.36,145.85,143.26,145.44,1591344,2.08,1.45,144.4775
PAYX,2025-03-13,144.98,145.84,142.88,143.56,1977300,-1.42,-0.97945,144.315
PAYX,2025-03-12,145.55,147.04,143.83,145.01,2780788,-0.54,-0.37101,145.3575
PAYX,2025-03-11,154.11,154.43,146.39,146.5,2955342,-7.61,-4.94,150.3575
PAYX,2025-03-10,153.48,158.37,153.34,154.52,3967519,1.04,0.67761,154.9275
PAYX,2025-03-07,149.36,154.05,148.95,153.48,2253837,4.12,2.76,151.46
PAYX,2025-03-06,151.26,151.88,147.86,149.89,2577147,-1.37,-0.90573,150.2225
PAYX,2025-03-05,150.91,153.26,150.6,152.1,1867549,1.19,0.78855,151.7175
PAYX,2025-03-04,154.43,154.98,151.79,152.0,3820041,-2.43,-1.57,153.3
PAYX,2025-03-03,151.76,154.48,151.76,153.37,1790420,1.61,1.06,152.8425
PAYX,2025-02-28,150.06,151.82,149.38,151.67,2485504,1.61,1.07,150.7325
PAYX,2025-02-27,149.35,150.61,148.3,148.76,1678300,-0.59,-0.39505,149.255
PAYX,2025-02-26,150.43,151.66,149.03,149.26,1211771,-1.17,-0.77777,150.095
PAYX,2025-02-25,150.19,151.86,150.07,151.0,1769509,0.81,0.53932,150.78
PAYX,2025-02-24,148.61,150.96,148.31,149.89,2651187,1.28,0.86131,149.4425
PAYX,2025-02-21,150.07,150.15,147.59,148.51,1674300,-1.56,-1.04,149.08
PAYX,2025-02-20,149.65,150.66,149.35,150.26,1356200,0.61,0.40762,149.98
PAYX,2025-02-19,148.65,150.17,147.78,150.04,1094600,1.39,0.93508,149.16
PAYX,2025-02-18,147.66,149.24,147.2,148.4,1931009,0.745,0.50115,148.125
PAYX,2025-02-14,148.96,149.28,147.09,147.25,1052400,-1.71,-1.15,148.145
PAYX,2025-02-13,146.94,148.78,146.49,148.63,1252228,1.69,1.15,147.71
PAYX,2025-02-12,144.13,147.33,144.07,146.95,1377700,2.82,1.96,145.62
PAYX,2025-02-11,146.31,146.69,145.46,146.1,1404155,-0.21,-0.14353,146.14
PAYX,2025-02-10,147.98,147.98,146.54,147.01,1331800,-0.97,-0.65549,147.3775
PAYX,2025-02-07,149.16,149.93,146.55,146.74,1803425,-2.42,-1.62,148.095
PAYX,2025-02-06,151.38,151.72,149.86,150.01,1536714,-1.37,-0.90501,150.7425
