symbol,date,open,high,low,close,volume,change,changePercent,vwap
PCAR,2025-04-04,92.3,93.965,89.67,91.49,4604349,-0.81,-0.87757313,91.71
PCAR,2025-04-03,95.72,96.38,92.21,92.36,4165836,-3.36,-3.51,94.1675
PCAR,2025-04-02,97.6,99.25,96.81,99.09,2001563,1.49,1.53,98.1875
PCAR,2025-04-01,97.36,98.58,96.01,98.29,2194121,0.93,0.95522,97.56
PCAR,2025-03-31,96.9,98.12,95.86,97.37,3356826,0.47,0.48504,97.0625
PCAR,2025-03-28,98.1,98.69,96.6,96.91,2320505,-1.19,-1.21,97.575
PCAR,2025-03-27,99.54,99.63,97.92,98.19,2250818,-1.35,-1.36,98.82
PCAR,2025-03-26,99.41,100.29,98.92,99.53,1981947,0.12,0.12071,99.5375
PCAR,2025-03-25,98.96,99.39,98.23,99.24,1956719,0.28,0.28294,98.955
PCAR,2025-03-24,98.41,99.06,97.94,98.64,2562497,0.23,0.23372,98.5125
PCAR,2025-03-21,97.39,97.85,96.24,97.11,8554989,-0.28,-0.2875,97.1475
PCAR,2025-03-20,99.3,99.57,98.0,98.32,2483400,-0.98,-0.98691,98.7975
PCAR,2025-03-19,99.9,101.43,98.91,99.59,2233920,-0.31,-0.31031,99.9575
PCAR,2025-03-18,100.69,101.23,99.53,100.21,1862984,-0.48,-0.47671,100.415
PCAR,2025-03-17,98.62,101.82,98.56,101.17,2434200,2.55,2.59,100.0425
PCAR,2025-03-14,99.39,99.67,98.22,99.21,3389801,-0.18,-0.1811,99.1225
PCAR,2025-03-13,97.41,100.33,96.8,98.42,6074140,1.01,1.04,98.24
PCAR,2025-03-12,104.79,104.9,101.41,102.33,2691017,-2.46,-2.35,103.3575
PCAR,2025-03-11,110.22,110.22,104.67,104.72,3946434,-5.5,-4.99,107.4575
PCAR,2025-03-10,109.95,115.43,109.44,110.56,4924933,0.61,0.5548,111.345
PCAR,2025-03-07,106.64,110.4,106.4,110.06,3080100,3.42,3.21,108.375
PCAR,2025-03-06,102.56,107.21,102.1,106.89,3289032,4.33,4.22,104.69
PCAR,2025-03-05,100.84,103.2,99.82,102.97,2327600,2.13,2.11,101.7075
PCAR,2025-03-04,104.6,104.77,101.05,101.48,3245525,-3.12,-2.98,102.975
PCAR,2025-03-03,107.82,108.5,104.36,105.02,2467939,-2.8,-2.6,106.425
PCAR,2025-02-28,106.42,107.47,105.55,107.24,3414440,0.82,0.77053,106.67
PCAR,2025-02-27,105.85,107.17,105.17,105.5,2136981,-0.35,-0.33066,105.9225
PCAR,2025-02-26,106.76,107.26,105.92,106.03,2280217,-0.73,-0.68378,106.4925
PCAR,2025-02-25,106.64,108.1,105.48,106.58,3738300,-0.06,-0.05626407,106.7
PCAR,2025-02-24,105.23,106.41,104.74,106.25,3477888,1.02,0.96931,105.6575
PCAR,2025-02-21,106.38,106.48,103.18,104.46,2978800,-1.92,-1.8,105.125
