symbol,date,open,high,low,close,volume,change,changePercent,vwap
PDD,2025-04-04,104.85,105.98,99.2,103.3,21434216,-1.55,-1.4783,102.83
PDD,2025-04-03,111.99,115.05,111.29,113.67,11742677,1.68,1.5,113.0
PDD,2025-04-02,121.83,122.0,117.44,119.07,8661403,-2.76,-2.27,120.085
PDD,2025-04-01,119.23,125.4,119.18,122.19,7069300,2.96,2.48,121.5
PDD,2025-03-31,118.84,119.28,117.29,118.35,6751900,-0.485,-0.41232,118.44
PDD,2025-03-28,122.28,122.4,119.03,120.45,6961724,-1.83,-1.5,121.04
PDD,2025-03-27,122.0,124.99,121.25,124.36,6137900,2.36,1.93,123.15
PDD,2025-03-26,125.26,125.4,120.4,122.47,8303300,-2.79,-2.23,123.3825
PDD,2025-03-25,126.79,128.6,124.78,125.25,7827945,-1.54,-1.21,126.355
PDD,2025-03-24,128.49,129.35,125.81,128.12,6679408,-0.365,-0.28796,127.9425
PDD,2025-03-21,127.47,127.83,123.27,126.64,13463643,-0.825,-0.65113,126.3025
PDD,2025-03-20,122.62,131.52,119.1,130.92,33353946,8.3,6.77,126.04
PDD,2025-03-19,129.22,129.36,123.16,125.92,13343538,-3.3,-2.55,126.915
PDD,2025-03-18,128.0,128.92,125.88,126.79,8165811,-1.21,-0.94531,127.3975
PDD,2025-03-17,123.0,130.01,122.87,128.9,10578100,5.9,4.8,126.195
PDD,2025-03-14,123.3,123.84,121.9,122.54,7174515,-0.76,-0.61638,122.895
PDD,2025-03-13,117.14,120.22,116.98,118.76,5684300,1.63,1.38,118.275
PDD,2025-03-12,117.77,119.43,117.01,117.86,5638500,0.09,0.07642014,118.0175
PDD,2025-03-11,117.59,118.66,115.09,117.98,6494226,0.39,0.33166,117.33
PDD,2025-03-10,118.06,118.19,113.34,115.63,7750100,-2.43,-2.06,116.305
PDD,2025-03-07,120.22,122.98,118.5,119.92,5717000,-0.3,-0.24954,120.405
PDD,2025-03-06,121.98,124.39,118.88,119.82,7148308,-2.16,-1.77,121.2675
PDD,2025-03-05,117.56,121.4,116.6,120.21,8997300,2.65,2.25,118.9425
PDD,2025-03-04,112.0,114.04,110.04,113.41,6554800,1.41,1.26,112.3725
PDD,2025-03-03,113.59,115.96,112.04,112.6,5970800,-0.985,-0.87156,113.5475
PDD,2025-02-28,113.37,115.56,112.0,113.69,10443138,0.32,0.28226,113.655
PDD,2025-02-27,119.52,121.74,116.81,118.68,7667745,-0.84,-0.70281,119.1875
PDD,2025-02-26,124.7,125.3,119.71,119.77,8827107,-4.93,-3.95,122.37
PDD,2025-02-25,120.58,121.7,117.84,119.17,8816100,-1.41,-1.17,119.8225
PDD,2025-02-24,125.16,125.29,118.37,119.77,19582800,-5.39,-4.31,122.1475
PDD,2025-02-21,128.44,133.33,127.82,131.34,16819200,2.91,2.26,130.2325
PDD,2025-02-20,128.06,130.74,123.48,124.41,10728231,-3.65,-2.85,126.6725
PDD,2025-02-19,128.57,128.71,122.91,124.43,8323145,-4.14,-3.22,126.155
PDD,2025-02-18,126.82,130.77,125.41,128.46,13892500,1.65,1.29,127.865
PDD,2025-02-14,125.23,126.75,122.4,124.16,11819200,-1.07,-0.85443,124.635
PDD,2025-02-13,117.69,121.93,117.21,121.54,8004400,3.86,3.27,119.5925
PDD,2025-02-12,118.02,119.35,117.12,118.83,6600020,0.81,0.68632,118.33
PDD,2025-02-11,113.18,119.5,112.3,117.48,7975412,4.3,3.8,115.615
PDD,2025-02-10,117.64,119.03,114.8,116.34,8170225,-1.3,-1.11,116.9525
PDD,2025-02-07,114.17,115.98,111.33,114.27,9575923,0.1,0.08758868,113.9375
PDD,2025-02-06,111.75,112.92,110.5,112.72,5628700,0.97,0.86801,111.9725
PDD,2025-02-05,108.99,112.53,108.83,110.14,10949892,1.15,1.06,110.1225
PDD,2025-02-04,107.93,115.2,107.84,114.05,13018400,6.12,5.67,111.255
PDD,2025-02-03,105.8,108.57,104.8,105.24,15022900,-0.56,-0.5293,106.1025
PDD,2025-01-31,114.22,115.5,111.0,111.91,7824000,-2.31,-2.02,113.1575
PDD,2025-01-30,111.59,116.69,111.59,115.4,6905900,3.81,3.41,113.8175
PDD,2025-01-29,113.0,113.71,110.46,112.04,5063500,-0.96,-0.84956,112.3025
PDD,2025-01-28,111.33,112.49,107.7,112.18,6699500,0.855,0.7635,110.925
PDD,2025-01-27,109.85,112.33,108.1,110.88,11132136,1.03,0.93764,110.29
PDD,2025-01-24,105.45,111.77,104.97,111.34,12736900,5.89,5.59,108.3825
PDD,2025-01-23,102.22,104.23,101.38,104.01,4316522,1.79,1.75,102.96
