symbol,date,open,high,low,close,volume,change,changePercent,vwap
PEP,2025-04-04,152.99,154.92,146.96,147.31,9217795,-5.68,-3.71266,149.73
PEP,2025-04-03,151.69,154.05,150.86,151.37,8212311,-0.32,-0.21096,151.9925
PEP,2025-04-02,150.23,150.5,148.07,149.12,5866200,-1.11,-0.73887,149.48
PEP,2025-04-01,150.49,150.79,148.67,149.67,6072838,-0.815,-0.54489,149.905
PEP,2025-03-31,150.2,152.59,149.75,149.94,9985702,-0.26,-0.1731,150.62
PEP,2025-03-28,150.44,151.38,147.11,149.27,8550900,-1.17,-0.77772,149.55
PEP,2025-03-27,149.59,150.41,149.09,149.67,5397532,0.08,0.05347951,149.69
PEP,2025-03-26,146.0,149.33,145.75,148.64,5885300,2.64,1.81,147.43
PEP,2025-03-25,146.15,146.3,144.83,145.54,4763300,-0.61,-0.41738,145.705
PEP,2025-03-24,145.49,146.72,144.83,146.45,5968900,0.965,0.65984,145.8725
PEP,2025-03-21,147.0,147.7,144.75,145.45,11574800,-1.55,-1.05,146.225
PEP,2025-03-20,147.56,148.07,146.64,147.15,4536400,-0.41,-0.27785,147.355
PEP,2025-03-19,148.16,148.88,146.79,148.11,6080100,-0.05,-0.0337473,147.985
PEP,2025-03-18,150.0,151.3,148.75,148.99,8158600,-1.01,-0.67333,149.76
PEP,2025-03-17,149.23,151.67,149.13,151.34,5449712,2.11,1.41,150.3425
PEP,2025-03-14,147.13,149.16,147.08,148.59,5277544,1.46,0.99232,147.99
PEP,2025-03-13,148.37,150.48,148.06,148.34,5351100,-0.03,-0.02021972,148.8125
PEP,2025-03-12,147.54,149.53,146.51,148.17,8330241,0.625,0.427,147.9375
PEP,2025-03-11,155.79,156.05,151.81,152.33,7981600,-3.46,-2.22,153.995
PEP,2025-03-10,155.88,160.08,155.37,156.25,11156900,0.375,0.23736,156.895
PEP,2025-03-07,153.25,157.59,152.77,154.44,8997748,1.19,0.77651,154.5125
PEP,2025-03-06,154.17,154.97,152.53,154.61,8421031,0.44,0.2854,154.07
PEP,2025-03-05,152.93,155.34,152.73,153.88,5578701,0.95,0.6212,153.72
PEP,2025-03-04,157.34,160.15,153.96,154.19,10274235,-3.15,-2.0,156.41
PEP,2025-03-03,151.35,156.15,150.5,155.99,8321700,4.64,3.07,153.4975
PEP,2025-02-28,153.7,155.1,152.35,153.47,8455500,-0.23,-0.14964,153.655
PEP,2025-02-27,150.9,152.69,149.93,152.02,6731000,1.12,0.74221,151.385
PEP,2025-02-26,155.57,155.61,151.14,151.51,9076519,-4.06,-2.61,153.4575
PEP,2025-02-25,154.79,158.46,154.0,156.42,9474619,1.63,1.05,155.9175
PEP,2025-02-24,152.34,156.32,152.12,153.85,7187038,1.51,0.9912,153.6575
PEP,2025-02-21,149.99,154.55,148.9,153.5,10604404,3.51,2.34,151.735
PEP,2025-02-20,145.11,149.19,145.0,149.1,6789805,3.99,2.75,147.1
PEP,2025-02-19,144.23,145.93,144.15,145.81,5777300,1.58,1.1,145.03
PEP,2025-02-18,142.9,144.15,141.6,144.1,8738725,1.2,0.83975,143.1875
PEP,2025-02-14,144.67,146.17,143.33,143.39,5001806,-1.28,-0.88477,144.39
PEP,2025-02-13,144.23,144.94,143.6,144.58,7175300,0.35,0.24267,144.3375
PEP,2025-02-12,144.04,144.78,143.03,143.99,6658200,-0.05,-0.03471258,143.96
PEP,2025-02-11,144.37,145.72,143.4,145.64,6354000,1.27,0.87968,144.7825
PEP,2025-02-10,144.35,144.52,143.01,144.35,8715400,0.0,0.0,144.0575
PEP,2025-02-07,145.01,145.15,143.9,144.58,5872343,-0.43,-0.29653,144.66
PEP,2025-02-06,146.26,146.9,143.96,145.35,5604900,-0.91,-0.62218,145.6175
PEP,2025-02-05,143.39,145.79,142.7,145.66,9249234,2.27,1.58,144.385
PEP,2025-02-04,146.1,147.75,143.0,143.49,12804949,-2.61,-1.79,145.085
PEP,2025-02-03,149.76,151.13,148.83,150.27,7196227,0.515,0.34054,149.9975
PEP,2025-01-31,150.76,151.69,150.27,150.69,4906744,-0.07,-0.04643141,150.8525
PEP,2025-01-30,151.28,153.08,150.63,151.9,4671300,0.62,0.40984,151.7225
PEP,2025-01-29,151.13,152.0,150.23,150.37,4874100,-0.76,-0.50288,150.9325
PEP,2025-01-28,154.15,154.61,150.12,150.25,6349700,-3.9,-2.53,152.2825
PEP,2025-01-27,150.92,155.47,150.9,154.61,9820600,3.69,2.45,152.975
PEP,2025-01-24,148.82,149.31,148.13,149.12,4509600,0.3,0.20159,148.845
PEP,2025-01-23,148.49,148.94,146.61,148.62,4759125,0.13,0.08754798,148.165
PEP,2025-01-22,148.23,149.45,147.79,148.09,5905100,-0.14,-0.09444782,148.39
PEP,2025-01-21,148.33,149.78,147.77,148.55,7456200,0.22,0.14832,148.6075
PEP,2025-01-17,147.72,148.62,147.17,148.25,7338900,0.53,0.35879,147.94
PEP,2025-01-16,144.05,146.79,143.69,146.54,5068040,2.49,1.73,145.2675
PEP,2025-01-15,145.49,146.2,144.17,144.78,7141600,-0.71,-0.48801,145.16
PEP,2025-01-14,144.19,145.14,143.56,144.95,6996448,0.76,0.52708,144.46
