symbol,date,open,high,low,close,volume,change,changePercent,vwap
PLTR,2025-04-04,80.12,80.98,71.9303,74.345,134286580,-5.78,-7.20794,75.75
PLTR,2025-04-03,81.25,85.68,81.01,83.6,93277122,2.35,2.89,82.89
PLTR,2025-04-02,82.4,88.4,82.3,87.45,96563100,5.05,6.13,85.14
PLTR,2025-04-01,83.89,85.28,81.82,84.68,78980700,0.79,0.94171,83.92
PLTR,2025-03-31,80.0,84.65,78.75,84.4,108092900,4.4,5.5,81.95
PLTR,2025-03-28,89.34,89.38,84.1,85.85,91091700,-3.49,-3.91,87.17
PLTR,2025-03-27,91.01,93.65,89.67,90.09,82823000,-0.92,-1.01,91.11
PLTR,2025-03-26,96.29,97.3,90.82,92.28,82138300,-4.01,-4.16,94.17
PLTR,2025-03-25,97.22,98.17,95.08,96.5,78015300,-0.72,-0.74059,96.74
PLTR,2025-03-24,93.4,97.39,92.28,96.75,112164700,3.35,3.59,94.95
PLTR,2025-03-21,85.85,91.07,84.46,90.96,116748700,5.11,5.95,88.08
PLTR,2025-03-20,85.54,89.8,85.12,87.39,105547400,1.85,2.16,86.96
PLTR,2025-03-19,84.55,87.99,82.86,86.1,89797400,1.55,1.83,85.38
PLTR,2025-03-18,85.78,86.17,81.8,83.89,93236500,-1.89,-2.2,84.41
PLTR,2025-03-17,88.44,88.82,84.5,87.35,99348900,-1.09,-1.23,87.28
PLTR,2025-03-14,82.97,87.27,82.16,86.24,113985000,3.27,3.94,84.66
PLTR,2025-03-13,82.85,83.74,78.32,79.62,100927200,-3.23,-3.9,81.13
PLTR,2025-03-12,83.48,84.55,79.86,83.65,116525100,0.17,0.20364,82.89
PLTR,2025-03-11,75.79,80.75,75.53,78.05,109351500,2.26,2.98,77.53
PLTR,2025-03-10,82.0,82.69,74.57,76.38,136843800,-5.62,-6.85,78.91
PLTR,2025-03-07,80.03,85.16,79.15,84.91,105377100,4.88,6.1,82.31
PLTR,2025-03-06,87.5,88.34,80.01,80.46,117340600,-7.04,-8.05,84.08
PLTR,2025-03-05,86.35,90.3,82.5,90.13,116053000,3.78,4.38,87.32
PLTR,2025-03-04,80.16,88.5,79.3,84.4,116800300,4.24,5.29,83.09
PLTR,2025-03-03,88.55,90.48,82.53,83.42,114573900,-5.13,-5.79,86.25
PLTR,2025-02-28,79.98,85.18,78.58,84.92,125977400,4.94,6.18,82.17
PLTR,2025-02-27,91.91,93.62,84.17,84.77,99680500,-7.14,-7.77,88.62
PLTR,2025-02-26,89.16,91.69,87.59,89.31,94846200,0.15,0.16824,89.44
PLTR,2025-02-25,90.65,91.7,85.25,87.84,132626300,-2.81,-3.1,88.86
PLTR,2025-02-24,95.88,99.01,89.3,90.68,184485000,-5.2,-5.42,93.72
PLTR,2025-02-21,107.68,109.07,100.0,101.35,129063200,-6.33,-5.88,104.52
PLTR,2025-02-20,102.91,107.4,95.8,106.27,243093900,3.36,3.26,103.1
PLTR,2025-02-19,123.86,125.41,108.56,112.06,147487300,-11.8,-9.53,117.47
PLTR,2025-02-18,120.94,125.0,118.43,124.62,84227200,3.68,3.04,122.25
PLTR,2025-02-14,117.9,120.67,116.8,119.16,65528900,1.26,1.07,118.63
PLTR,2025-02-13,117.31,118.39,115.15,117.91,60027000,0.6,0.51147,117.19
PLTR,2025-02-12,110.29,117.59,110.0,117.39,75316900,7.1,6.44,113.82
PLTR,2025-02-11,116.5,118.66,112.1,112.62,94311700,-3.88,-3.33,114.97
PLTR,2025-02-10,112.03,116.76,108.72,116.65,99344700,4.62,4.12,113.88
PLTR,2025-02-07,111.66,116.3,110.45,110.85,143546364,-0.81,-0.72542,113.66
PLTR,2025-02-06,101.09,111.545,100.26,111.28,127705941,10.19,10.08,107.65
PLTR,2025-02-05,101.78,103.57,99.32,101.36,90307648,-0.42,-0.41265,101.23
PLTR,2025-02-04,102.8,106.91,100.51,103.83,229384405,1.03,1.0,103.62
PLTR,2025-02-03,80.125,84.25,78.47,83.74,126097917,3.615,4.51,87.32
PLTR,2025-01-31,81.0,85.22,80.87,82.49,78296383,1.49,1.84,83.81
PLTR,2025-01-30,80.02,81.8299,79.38,81.22,45696665,1.2,1.5,80.7
PLTR,2025-01-29,79.95,80.8199,77.81,79.76,48960318,-0.19,-0.23765,79.26
PLTR,2025-01-28,75.54,80.74,74.04,80.23,65644947,4.69,6.21,78.48
PLTR,2025-01-27,74.07,76.72,72.67,75.44,75686549,1.37,1.85,74.62
PLTR,2025-01-24,79.05,82.24,78.4401,78.98,77530380,-0.07,-0.08855155,80.37
PLTR,2025-01-23,76.04,79.0,75.84,78.98,55537753,2.94,3.87,77.78
PLTR,2025-01-22,74.5,77.16,73.8,76.87,65779896,2.37,3.18,75.92
PLTR,2025-01-21,73.24,73.6363,70.6007,73.07,54532577,-0.17,-0.23211,72.78
PLTR,2025-01-17,70.9,72.34,69.95,71.77,54412541,0.87,1.23,71.33
PLTR,2025-01-16,69.08,71.43,68.36,69.24,61651454,0.16,0.23162,69.99
