symbol,date,open,high,low,close,volume,change,changePercent,vwap
PYPL,2025-04-04,60.0,60.19,57.3248,58.75,18284588,-1.25,-2.08333,58.75
PYPL,2025-04-03,63.1,63.94,60.95,61.71,18452544,-1.39,-2.2,62.425
PYPL,2025-04-02,65.25,67.57,65.1,67.15,8123000,1.9,2.91,66.2675
PYPL,2025-04-01,64.62,66.36,64.6,66.1,8000600,1.48,2.29,65.42
PYPL,2025-03-31,64.28,65.43,63.4,65.25,11562033,0.97,1.51,64.59
PYPL,2025-03-28,68.06,68.24,64.95,65.15,16536300,-2.91,-4.28,66.6
PYPL,2025-03-27,69.06,69.96,68.7,68.86,7883100,-0.2,-0.2896,69.145
PYPL,2025-03-26,70.93,71.62,69.55,69.97,7454000,-0.96,-1.35,70.5175
PYPL,2025-03-25,71.0,71.71,70.55,70.86,6690600,-0.14,-0.19718,71.03
PYPL,2025-03-24,71.55,71.66,70.51,70.97,9911035,-0.58,-0.81062,71.1725
PYPL,2025-03-21,68.62,70.41,68.55,70.19,14603808,1.57,2.29,69.4425
PYPL,2025-03-20,69.44,70.81,69.25,69.67,7453600,0.235,0.33122,69.7925
PYPL,2025-03-19,69.1,70.48,68.82,70.0,6876430,0.9,1.3,69.6
PYPL,2025-03-18,69.07,69.46,68.29,68.88,7520849,-0.19,-0.27508,68.925
PYPL,2025-03-17,68.67,70.22,67.98,69.65,7971219,0.98,1.43,69.13
PYPL,2025-03-14,67.81,69.14,67.52,68.95,9828715,1.14,1.68,68.355
PYPL,2025-03-13,68.33,68.91,66.7,66.91,9778300,-1.42,-2.08,67.7125
PYPL,2025-03-12,68.87,69.38,67.91,68.62,11545839,-0.25,-0.363,68.695
PYPL,2025-03-11,68.41,68.95,67.17,67.98,12133100,-0.43,-0.62856,68.1275
PYPL,2025-03-10,69.02,69.97,66.99,68.16,15035200,-0.86,-1.25,68.535
PYPL,2025-03-07,67.97,70.98,67.83,70.48,16388300,2.51,3.69,69.315
PYPL,2025-03-06,68.82,69.86,67.66,68.08,11226928,-0.74,-1.08,68.605
PYPL,2025-03-05,67.98,69.69,67.7,69.5,14464300,1.52,2.24,68.7175
PYPL,2025-03-04,69.0,69.08,66.34,67.48,20180000,-1.52,-2.2,67.975
PYPL,2025-03-03,71.1,71.57,69.5,69.75,15753700,-1.35,-1.9,70.48
PYPL,2025-02-28,70.5,71.12,69.68,71.05,13601324,0.55,0.78014,70.5875
PYPL,2025-02-27,72.15,72.55,70.58,70.73,11661200,-1.42,-1.97,71.5025
PYPL,2025-02-26,74.33,74.48,71.77,72.05,15296804,-2.28,-3.07,73.1575
PYPL,2025-02-25,77.14,77.57,72.7,74.07,20647200,-3.07,-3.98,75.37
PYPL,2025-02-24,75.25,75.88,73.97,75.25,12873300,0.005,0.0,75.0875
PYPL,2025-02-21,77.44,77.48,74.75,74.95,15171700,-2.49,-3.22,76.155
PYPL,2025-02-20,78.12,78.17,76.85,77.63,9319311,-0.49,-0.62724,77.6925
PYPL,2025-02-19,78.5,79.0,77.54,78.36,9082300,-0.14,-0.17834,78.35
PYPL,2025-02-18,78.2,78.76,77.5,78.62,11281243,0.42,0.53708,78.27
PYPL,2025-02-14,76.9,78.33,76.63,77.97,10504600,1.07,1.39,77.4575
PYPL,2025-02-13,76.37,76.93,75.73,76.59,9958600,0.22,0.28807,76.405
PYPL,2025-02-12,75.42,76.85,75.3,76.27,11782529,0.85,1.13,75.96
PYPL,2025-02-11,77.82,77.85,76.04,76.21,15769400,-1.61,-2.07,76.98
PYPL,2025-02-10,78.16,78.92,77.61,78.24,11815600,0.08,0.10235,78.2325
PYPL,2025-02-07,79.0,79.49,77.23,77.31,13597300,-1.69,-2.14,78.2575
PYPL,2025-02-06,79.68,79.74,78.11,78.57,14440500,-1.11,-1.39,79.025
PYPL,2025-02-05,78.21,79.5,77.67,79.2,23646046,0.99,1.27,78.645
PYPL,2025-02-04,82.26,82.69,77.38,77.72,58801900,-4.54,-5.52,80.0125
PYPL,2025-02-03,86.5,89.71,86.0,89.51,11215041,3.01,3.48,87.93
PYPL,2025-01-31,89.57,90.4,88.54,88.58,8338934,-0.99,-1.11,89.2725
PYPL,2025-01-30,89.51,90.93,88.84,89.57,7708500,0.06,0.06703162,89.7125
PYPL,2025-01-29,88.17,89.42,88.17,88.76,5234500,0.59,0.66916,88.63
PYPL,2025-01-28,89.76,89.83,86.88,88.19,8666000,-1.57,-1.75,88.665
PYPL,2025-01-27,87.55,90.29,87.39,90.24,6923826,2.69,3.07,88.8675
PYPL,2025-01-24,89.59,90.02,88.84,89.11,6004700,-0.48,-0.53577,89.39
PYPL,2025-01-23,89.76,89.78,88.24,89.73,7540610,-0.03,-0.03342246,89.3775
PYPL,2025-01-22,90.0,90.37,89.14,89.85,7345739,-0.15,-0.16667,89.84
PYPL,2025-01-21,92.21,92.21,89.39,89.77,12629343,-2.44,-2.65,90.895
PYPL,2025-01-17,90.76,93.25,90.01,91.81,16499703,1.05,1.16,91.4575
PYPL,2025-01-16,89.96,90.37,88.85,88.92,5816400,-1.04,-1.16,89.525
PYPL,2025-01-15,88.72,90.19,88.47,89.64,10024100,0.92,1.04,89.255
PYPL,2025-01-14,85.29,87.4,84.75,87.18,8958442,1.89,2.22,86.155
PYPL,2025-01-13,82.19,84.12,81.79,83.99,7402400,1.8,2.19,83.0225
PYPL,2025-01-10,86.79,87.09,82.24,83.36,11341216,-3.43,-3.95,84.87
PYPL,2025-01-08,88.06,88.23,86.79,87.94,7400030,-0.12,-0.13627,87.755
PYPL,2025-01-07,89.53,89.97,87.6,87.97,6080800,-1.56,-1.74,88.7675
PYPL,2025-01-06,88.02,90.09,87.72,89.53,7869200,1.51,1.72,88.84
PYPL,2025-01-03,86.73,87.7,86.31,87.6,6136427,0.87,1.0,87.085
PYPL,2025-01-02,85.84,86.94,84.82,86.18,6227776,0.345,0.39609,85.945
PYPL,2024-12-31,85.74,85.9,85.05,85.35,4533202,-0.385,-0.45486,85.51
PYPL,2024-12-30,85.69,86.07,84.66,85.43,5855039,-0.26,-0.30342,85.4625
PYPL,2024-12-27,87.36,87.66,86.2,86.86,5125000,-0.5,-0.57234,87.02
PYPL,2024-12-26,87.6,88.73,87.26,88.14,4802200,0.54,0.61644,87.9325
PYPL,2024-12-24,86.9,88.33,86.59,88.25,3276344,1.35,1.55,87.5175
PYPL,2024-12-23,86.47,87.24,85.97,86.9,5633131,0.43,0.49728,86.645
PYPL,2024-12-20,84.91,88.23,84.5,87.13,22052710,2.22,2.61,86.1925
PYPL,2024-12-19,86.28,88.42,86.16,86.78,9522428,0.5,0.57951,86.91
PYPL,2024-12-18,90.7,91.09,85.18,85.45,12583700,-5.24,-5.79,88.105
PYPL,2024-12-17,90.9,92.0,90.23,90.86,8395600,-0.04,-0.0440044,90.9975
PYPL,2024-12-16,90.79,91.46,89.52,91.3,7402500,0.51,0.56174,90.7675
PYPL,2024-12-13,90.42,91.19,89.82,91.02,8358100,0.6,0.66357,90.6125
PYPL,2024-12-12,90.43,91.17,89.34,89.4,4711138,-1.03,-1.14,90.085
PYPL,2024-12-11,88.62,91.03,87.84,90.75,6657200,2.13,2.4,89.56
PYPL,2024-12-10,89.94,90.0,88.38,88.76,6697500,-1.18,-1.31,89.27
PYPL,2024-12-09,92.25,93.66,89.73,90.0,10714200,-2.25,-2.44,91.41
PYPL,2024-12-06,89.49,90.04,88.55,89.88,6955544,0.39,0.4358,89.49
PYPL,2024-12-05,89.59,90.27,88.27,89.05,9025600,-0.545,-0.60275,89.295
PYPL,2024-12-04,85.68,90.14,85.24,89.33,15536000,3.65,4.26,87.5975
PYPL,2024-12-03,86.4,86.4,84.62,85.14,8189800,-1.26,-1.46,85.64
PYPL,2024-12-02,86.55,87.47,85.84,86.53,7273536,-0.02,-0.02310803,86.5975
PYPL,2024-11-29,86.39,87.08,85.82,86.77,4469740,0.38,0.43987,86.515
PYPL,2024-11-27,87.55,87.66,86.27,86.57,5477900,-0.98,-1.12,87.0125
PYPL,2024-11-26,87.4,88.18,86.9,86.94,5610415,-0.46,-0.52632,87.355
PYPL,2024-11-25,87.99,88.74,86.97,87.77,12998300,-0.22,-0.25003,87.8675
PYPL,2024-11-22,84.68,86.8,84.57,86.77,6786000,2.09,2.47,85.705
PYPL,2024-11-21,85.16,85.49,84.21,84.82,7250100,-0.34,-0.39925,84.92
PYPL,2024-11-20,84.51,85.6,84.24,84.74,6076348,0.23,0.27216,84.7725
PYPL,2024-11-19,82.99,84.24,82.5,84.09,12442731,1.1,1.33,83.455
PYPL,2024-11-18,86.06,86.84,84.58,84.67,10152600,-1.39,-1.62,85.5375
PYPL,2024-11-15,85.35,86.2,85.1,85.83,8083200,0.48,0.56239,85.62
PYPL,2024-11-14,87.06,87.47,85.48,85.79,8468300,-1.27,-1.46,86.45
PYPL,2024-11-13,86.8,87.9,86.08,87.31,9256600,0.51,0.58756,87.0225
PYPL,2024-11-12,86.88,87.92,85.67,86.4,10036908,-0.48,-0.55249,86.7175
PYPL,2024-11-11,84.07,87.47,83.38,86.94,15459400,2.87,3.41,85.465
PYPL,2024-11-08,81.46,83.07,81.35,83.01,8144200,1.55,1.9,82.2225
PYPL,2024-11-07,81.69,82.74,81.13,81.35,7994300,-0.345,-0.41621,81.7275
PYPL,2024-11-06,81.35,81.69,80.0,81.41,11546541,0.065,0.07375538,81.1125
PYPL,2024-11-05,77.74,79.41,77.74,79.25,6573919,1.51,1.94,78.535
PYPL,2024-11-04,77.26,78.44,77.0,78.13,10257036,0.87,1.13,77.7075
PYPL,2024-11-01,77.86,78.31,76.46,77.25,16473606,-0.615,-0.78346,77.47
PYPL,2024-10-31,78.49,79.82,78.3,79.3,13919300,0.81,1.03,78.9775
PYPL,2024-10-30,79.03,79.71,77.99,78.22,14910500,-0.81,-1.02,78.7375
PYPL,2024-10-29,78.04,81.25,76.81,80.28,35206400,2.24,2.87,79.095
PYPL,2024-10-28,82.03,83.7,81.88,83.59,15243510,1.56,1.9,82.8
PYPL,2024-10-25,82.01,82.8,81.4,81.7,7201013,-0.31,-0.378,81.9775
PYPL,2024-10-24,81.24,82.48,80.92,81.39,7398800,0.155,0.18464,81.5075
PYPL,2024-10-23,81.24,82.24,80.09,80.83,7632139,-0.41,-0.50468,81.1
PYPL,2024-10-22,80.05,81.42,80.04,80.91,7571300,0.86,1.07,80.605
PYPL,2024-10-21,80.32,81.36,80.04,80.56,7450300,0.245,0.2988,80.57
PYPL,2024-10-18,79.5,80.97,78.94,80.94,8844338,1.44,1.81,80.0875
