symbol,date,open,high,low,close,volume,change,changePercent,vwap
QCOM,2025-04-04,134.16,135.86,128.055,128.43,13002820,-5.73,-4.27102,130.78
QCOM,2025-04-03,147.0,147.4,138.56,139.42,16433121,-7.58,-5.16,143.095
QCOM,2025-04-02,150.79,155.46,150.37,154.08,5377200,3.29,2.18,152.675
QCOM,2025-04-01,152.39,153.32,150.26,153.05,5708940,0.66,0.4331,152.255
QCOM,2025-03-31,150.81,153.85,147.88,153.61,8613600,2.81,1.86,151.5375
QCOM,2025-03-28,156.92,157.64,151.56,152.72,8918000,-4.2,-2.68,154.71
QCOM,2025-03-27,158.21,159.25,155.75,157.97,6102000,-0.24,-0.1517,157.795
QCOM,2025-03-26,159.45,160.81,156.85,158.39,5965132,-1.06,-0.66479,158.875
QCOM,2025-03-25,159.88,161.47,159.42,160.15,3978200,0.27,0.16888,160.23
QCOM,2025-03-24,160.0,161.0,158.8,160.08,6033400,0.08,0.05,159.97
QCOM,2025-03-21,154.98,157.42,153.56,156.82,10949300,1.84,1.19,155.695
QCOM,2025-03-20,158.0,159.12,156.52,157.95,5089300,-0.05,-0.03164557,157.8975
QCOM,2025-03-19,156.43,160.51,155.06,158.26,5871000,1.83,1.17,157.565
QCOM,2025-03-18,157.95,159.73,155.92,156.29,6898400,-1.66,-1.05,157.4725
QCOM,2025-03-17,155.6,158.72,155.44,157.95,5781412,2.35,1.51,156.9275
QCOM,2025-03-14,153.56,156.95,153.54,156.58,5309435,3.02,1.97,155.1575
QCOM,2025-03-13,152.6,155.63,150.42,151.94,5861709,-0.655,-0.4325,152.6475
QCOM,2025-03-12,154.21,155.86,151.92,152.8,7117435,-1.41,-0.91434,153.6975
QCOM,2025-03-11,154.85,156.23,150.86,153.1,8692939,-1.75,-1.13,153.76
QCOM,2025-03-10,157.35,159.26,152.61,154.98,10139920,-2.37,-1.51,156.05
QCOM,2025-03-07,155.22,161.82,155.22,161.22,8727617,6.0,3.87,158.37
QCOM,2025-03-06,154.11,157.88,154.09,156.04,7808129,1.93,1.25,155.53
QCOM,2025-03-05,155.04,159.15,153.03,158.49,6786900,3.45,2.23,156.4275
QCOM,2025-03-04,155.27,157.2,151.35,154.46,8956839,-0.81,-0.52167,154.57
QCOM,2025-03-03,158.99,160.08,152.52,153.62,9601900,-5.37,-3.38,156.3025
QCOM,2025-02-28,155.1,157.31,153.4,157.17,10149500,2.07,1.33,155.745
QCOM,2025-02-27,162.34,163.25,154.1,154.44,10807200,-7.9,-4.87,158.5325
QCOM,2025-02-26,161.83,164.14,160.93,162.1,9161900,0.27,0.16684,162.25
QCOM,2025-02-25,161.66,163.33,159.44,161.22,8244945,-0.44,-0.27218,161.4125
QCOM,2025-02-24,165.91,166.59,160.99,161.1,9827839,-4.81,-2.9,163.6475
QCOM,2025-02-21,174.98,175.43,165.21,165.43,12531900,-9.55,-5.46,170.2625
QCOM,2025-02-20,176.0,176.39,172.9,173.7,6316412,-2.3,-1.31,174.7475
QCOM,2025-02-19,173.99,176.5,173.35,175.22,6849614,1.23,0.70694,174.765
QCOM,2025-02-18,173.26,173.72,171.24,173.64,7292649,0.38,0.21932,172.965
QCOM,2025-02-14,172.6,172.82,171.04,172.23,4691344,-0.37,-0.21437,172.1725
QCOM,2025-02-13,170.19,172.36,169.47,172.15,6362200,1.96,1.15,171.0425
QCOM,2025-02-12,169.55,170.93,168.24,170.29,5505700,0.74,0.43645,169.7525
QCOM,2025-02-11,169.65,172.7,169.11,171.99,6588100,2.34,1.38,170.8625
QCOM,2025-02-10,169.73,171.8,169.0,171.36,6237700,1.63,0.96035,170.4725
QCOM,2025-02-07,169.83,171.3,166.06,167.96,7841700,-1.87,-1.1,168.7875
QCOM,2025-02-06,167.84,169.49,165.4,169.32,16293503,1.48,0.88179,168.0125
QCOM,2025-02-05,173.0,177.0,169.9,175.86,15420587,2.86,1.65,173.94
QCOM,2025-02-04,168.5,173.79,168.5,173.04,5457922,4.54,2.69,170.9575
QCOM,2025-02-03,168.88,172.58,168.06,170.24,7447100,1.36,0.80531,169.94
QCOM,2025-01-31,172.51,176.79,172.29,172.93,7809000,0.42,0.24346,173.63
QCOM,2025-01-30,172.34,173.54,170.97,171.93,6010600,-0.41,-0.2379,172.195
QCOM,2025-01-29,171.55,173.49,170.22,171.71,5118924,0.16,0.09326727,171.7425
QCOM,2025-01-28,170.22,173.49,169.81,171.55,8720200,1.33,0.78134,171.2675
QCOM,2025-01-27,172.1,172.2,167.28,171.18,15632612,-0.92,-0.53457,170.69
QCOM,2025-01-24,175.1,175.2,171.94,172.11,5825800,-2.99,-1.71,173.5875
QCOM,2025-01-23,170.38,174.38,169.38,174.36,7172321,3.98,2.34,172.125
QCOM,2025-01-22,168.32,172.09,168.19,170.24,7281700,1.92,1.14,169.71
QCOM,2025-01-21,166.0,168.68,165.35,167.27,7380518,1.27,0.76506,166.825
QCOM,2025-01-17,165.38,165.61,163.1,164.56,8097500,-0.82,-0.49583,164.6625
QCOM,2025-01-16,165.35,165.84,161.28,161.43,7188900,-3.92,-2.37,163.475
QCOM,2025-01-15,162.1,165.45,162.09,164.41,9284034,2.31,1.43,163.5125
QCOM,2025-01-14,160.14,161.01,156.56,159.53,6476500,-0.61,-0.38092,159.31
QCOM,2025-01-13,155.22,157.37,154.8,157.13,5714700,1.91,1.23,156.13
QCOM,2025-01-10,157.7,158.28,155.55,156.98,6236809,-0.72,-0.45656,157.1275
QCOM,2025-01-08,160.05,160.19,156.94,159.08,7731918,-0.97,-0.60606,159.065
QCOM,2025-01-07,162.0,163.45,159.25,160.52,7666013,-1.48,-0.91358,161.305
QCOM,2025-01-06,159.33,165.67,159.33,159.85,9599800,0.52,0.32637,161.045
QCOM,2025-01-03,155.42,158.44,154.49,157.83,5887151,2.41,1.55,156.545
QCOM,2025-01-02,155.01,157.51,152.79,153.64,5009100,-1.37,-0.88381,154.7375
QCOM,2024-12-31,154.72,155.84,153.21,153.62,4423330,-1.1,-0.71096,154.3475
QCOM,2024-12-30,155.23,156.13,153.8,154.58,5356000,-0.65,-0.41873,154.935
QCOM,2024-12-27,157.19,157.75,155.52,157.24,7232500,0.05,0.03180864,156.925
QCOM,2024-12-26,157.4,159.56,157.35,158.53,3847905,1.13,0.71792,158.21
QCOM,2024-12-24,158.64,159.4,157.54,159.36,2839600,0.72,0.45386,158.735
QCOM,2024-12-23,155.66,158.69,154.55,158.24,8863200,2.58,1.66,156.785
QCOM,2024-12-20,149.58,154.57,149.43,152.89,17347100,3.31,2.21,151.6175
QCOM,2024-12-19,154.03,155.47,150.06,150.4,8414800,-3.63,-2.36,152.49
