symbol,date,open,high,low,close,volume,change,changePercent,vwap
REGN,2025-04-04,610.65,610.65,576.76,578.235,1102275,-32.41,-5.30828,588.55
REGN,2025-04-03,626.25,628.0,607.88,610.64,1047291,-15.61,-2.49,618.1925
REGN,2025-04-02,613.53,628.0,610.1,625.6,902620,12.07,1.97,619.3075
REGN,2025-04-01,630.51,641.24,615.0,617.0,1059787,-13.51,-2.14,625.9375
REGN,2025-03-31,630.08,640.72,618.51,634.23,1066328,4.15,0.65865,630.885
REGN,2025-03-28,638.01,642.97,631.45,637.36,805944,-0.65,-0.10188,637.4475
REGN,2025-03-27,641.21,643.43,629.94,635.83,811500,-5.38,-0.83904,637.6025
REGN,2025-03-26,634.14,644.0,629.02,640.14,1251942,6.0,0.94616,636.825
REGN,2025-03-25,662.45,662.57,633.1,634.14,852917,-28.31,-4.27,648.065
REGN,2025-03-24,660.0,667.46,655.3,661.0,962400,1.0,0.15152,660.94
REGN,2025-03-21,658.0,661.0,651.06,658.48,1869340,0.48,0.07294833,657.135
REGN,2025-03-20,670.0,674.83,662.33,662.62,663000,-7.38,-1.1,667.445
REGN,2025-03-19,663.67,674.57,659.03,672.36,675733,8.69,1.31,667.4075
REGN,2025-03-18,678.0,678.27,664.3,664.96,608100,-13.04,-1.92,671.3825
REGN,2025-03-17,668.26,679.83,664.68,678.42,942913,10.16,1.52,672.7975
REGN,2025-03-14,680.61,686.98,657.0,666.87,1306089,-13.74,-2.02,672.865
REGN,2025-03-13,687.43,698.95,677.34,680.61,863964,-6.82,-0.9921,686.0825
REGN,2025-03-12,709.94,712.46,683.43,689.5,808455,-20.44,-2.88,698.8325
REGN,2025-03-11,746.7,747.7,712.39,718.16,1108133,-28.54,-3.82,731.2375
REGN,2025-03-10,710.01,748.29,709.38,744.83,1631748,34.82,4.9,728.1275
REGN,2025-03-07,698.63,729.75,696.43,707.51,1083901,8.88,1.27,708.08
REGN,2025-03-06,683.1,701.0,682.26,698.44,866540,15.34,2.25,691.2
REGN,2025-03-05,673.98,692.79,673.15,687.15,828933,13.17,1.95,681.7675
REGN,2025-03-04,688.48,697.46,672.5,675.49,1197662,-12.99,-1.89,683.4825
REGN,2025-03-03,701.91,704.64,683.46,684.87,708660,-17.04,-2.43,693.72
REGN,2025-02-28,701.32,708.58,693.71,698.74,1028932,-2.58,-0.36788,700.5875
REGN,2025-02-27,705.9,721.0,700.67,702.78,568541,-3.12,-0.44199,707.5875
REGN,2025-02-26,721.29,721.41,701.07,706.94,713047,-14.35,-1.99,712.6775
REGN,2025-02-25,720.0,739.0,715.5,723.47,1050130,3.47,0.48194,724.4925
REGN,2025-02-24,703.93,725.0,700.43,713.25,896498,9.32,1.32,710.6525
REGN,2025-02-21,697.93,704.08,693.07,700.33,727437,2.4,0.34387,698.8525
REGN,2025-02-20,688.05,703.14,685.45,696.02,627592,7.97,1.16,693.165
REGN,2025-02-19,675.29,688.67,675.29,685.66,638439,10.37,1.54,681.2275
REGN,2025-02-18,679.64,689.95,674.88,680.0,826119,0.36,0.05296922,681.1175
REGN,2025-02-14,678.2,684.0,671.55,673.6,623017,-4.6,-0.67827,676.8375
REGN,2025-02-13,665.46,677.69,661.94,674.27,604761,8.81,1.32,669.84
REGN,2025-02-12,659.96,670.98,655.85,663.86,1292245,3.9,0.59094,662.6625
REGN,2025-02-11,680.63,680.79,664.19,665.46,1270975,-15.17,-2.23,672.7675
REGN,2025-02-10,714.45,719.78,688.92,690.36,918752,-24.09,-3.37,703.3775
REGN,2025-02-07,726.46,731.42,709.55,710.0,886055,-16.46,-2.27,719.3575
REGN,2025-02-06,713.42,734.27,713.42,722.07,1116850,8.65,1.21,720.795
REGN,2025-02-05,708.8,729.25,700.01,716.72,1436289,7.92,1.12,713.695
REGN,2025-02-04,650.0,709.98,642.0,697.05,1654901,47.05,7.24,674.7575
REGN,2025-02-03,668.8,673.65,663.43,666.85,1009200,-1.95,-0.29157,668.1825
REGN,2025-01-31,677.29,688.0,671.96,672.98,943994,-4.31,-0.63636,677.5575
REGN,2025-01-30,688.31,689.62,674.33,683.08,771800,-5.23,-0.75983,683.835
REGN,2025-01-29,685.96,697.57,682.33,687.27,522835,1.31,0.19097,688.2825
REGN,2025-01-28,682.11,690.3,678.13,686.33,640390,4.22,0.61867,684.2175
REGN,2025-01-27,676.73,698.45,676.73,684.71,1051614,7.98,1.18,684.155
REGN,2025-01-24,688.74,693.84,675.11,675.79,1021800,-12.95,-1.88,683.37
REGN,2025-01-23,680.54,696.19,678.28,694.64,1145204,14.1,2.07,687.4125
REGN,2025-01-22,689.77,699.88,677.68,680.03,945295,-9.74,-1.41,686.84
REGN,2025-01-21,687.46,692.93,681.52,687.8,1145326,0.34,0.04945742,687.4275
REGN,2025-01-17,705.34,707.48,680.89,681.58,1111946,-23.76,-3.37,693.8225
REGN,2025-01-16,701.04,706.54,691.33,693.23,854097,-7.81,-1.11,698.035
REGN,2025-01-15,700.61,712.6,698.2,703.43,880442,2.82,0.40251,703.71
REGN,2025-01-14,714.01,715.98,686.0,690.87,791700,-23.14,-3.24,701.715
REGN,2025-01-13,669.24,717.37,666.25,716.9,1406307,47.66,7.12,692.44
REGN,2025-01-10,721.33,724.73,691.0,696.88,1117310,-24.45,-3.39,708.485
REGN,2025-01-08,728.04,743.28,725.6,733.59,758834,5.55,0.76232,732.6275
REGN,2025-01-07,716.34,734.44,716.34,730.3,802573,13.96,1.95,724.355
REGN,2025-01-06,715.0,733.69,713.75,716.26,820344,1.26,0.17622,719.675
REGN,2025-01-03,716.07,722.0,714.76,718.15,558000,2.08,0.29047,717.745
REGN,2025-01-02,720.86,726.81,711.92,715.19,479136,-5.67,-0.78656,718.695
REGN,2024-12-31,703.9,713.0,703.39,712.33,473568,8.43,1.2,708.155
REGN,2024-12-30,708.04,708.97,700.42,702.59,537464,-5.45,-0.76973,705.005
REGN,2024-12-27,710.52,718.99,709.09,712.4,795600,1.88,0.26459,712.75
REGN,2024-12-26,709.08,718.49,709.08,716.68,619266,7.6,1.07,713.3325
REGN,2024-12-24,712.3,720.0,706.15,714.47,382145,2.17,0.30465,713.23
REGN,2024-12-23,708.38,718.19,706.16,715.13,866549,6.75,0.95288,711.965
REGN,2024-12-20,710.2,717.61,700.83,701.85,1890000,-8.35,-1.18,707.6225
REGN,2024-12-19,711.0,714.05,693.0,708.25,1086700,-2.75,-0.38678,706.575
REGN,2024-12-18,735.21,745.0,712.3,714.62,908073,-20.59,-2.8,726.7825
REGN,2024-12-17,721.37,744.8,721.08,740.01,978744,18.64,2.58,731.815
REGN,2024-12-16,730.52,739.39,722.23,724.87,920351,-5.65,-0.77342,729.2525
REGN,2024-12-13,738.45,740.17,728.68,731.3,696989,-7.15,-0.96824,734.65
REGN,2024-12-12,773.12,778.73,740.46,740.97,924298,-32.15,-4.16,758.32
REGN,2024-12-11,778.15,781.32,766.87,773.0,776927,-5.15,-0.66183,774.835
REGN,2024-12-10,784.1,791.49,762.7,778.5,1298557,-5.6,-0.71419,779.1975
REGN,2024-12-09,777.0,800.99,773.0,788.0,1027402,11.0,1.42,784.7475
REGN,2024-12-06,768.64,778.12,765.16,778.0,813700,9.36,1.22,772.48
REGN,2024-12-05,751.55,768.02,749.69,767.9,779214,16.35,2.18,759.29
REGN,2024-12-04,748.56,756.13,744.14,754.26,731800,5.7,0.76146,750.7725
REGN,2024-12-03,758.53,770.0,747.57,749.57,649997,-8.96,-1.18,756.4175
REGN,2024-12-02,750.01,763.89,748.41,762.34,896231,12.33,1.64,756.1625
REGN,2024-11-29,746.62,754.51,740.0,750.22,489800,3.6,0.48217,747.8375
REGN,2024-11-27,756.72,762.16,749.52,754.87,544800,-1.85,-0.24448,755.8175
REGN,2024-11-26,743.19,754.18,736.5,753.03,780023,9.84,1.32,746.725
REGN,2024-11-25,747.97,757.86,741.62,749.51,1196546,1.54,0.20589,749.24
REGN,2024-11-22,744.7,751.4,737.63,738.0,1029511,-6.7,-0.89969,742.9325
REGN,2024-11-21,744.87,757.56,735.95,744.5,973061,-0.37,-0.0496731,745.72
REGN,2024-11-20,742.19,750.69,736.01,743.35,654566,1.16,0.15629,743.06
REGN,2024-11-19,756.56,758.6,736.19,744.6,979900,-11.96,-1.58,748.9875
REGN,2024-11-18,751.97,762.7,750.2,762.0,1027843,10.03,1.33,756.7175
REGN,2024-11-15,782.78,783.1,753.69,756.81,1374549,-25.97,-3.32,769.095
REGN,2024-11-14,800.15,803.42,780.95,782.51,1086987,-17.64,-2.2,791.7575
REGN,2024-11-13,815.45,823.56,803.33,804.33,589558,-11.12,-1.36,811.6675
REGN,2024-11-12,824.31,831.0,817.14,821.0,677644,-3.31,-0.40155,823.3625
REGN,2024-11-11,824.0,834.42,820.45,825.68,691831,1.68,0.20388,826.1375
REGN,2024-11-08,826.57,830.73,822.8,828.42,563600,1.85,0.22382,827.13
REGN,2024-11-07,817.88,832.53,814.05,824.48,780936,6.6,0.80696,822.235
REGN,2024-11-06,844.51,844.51,813.53,816.65,879570,-27.86,-3.3,829.8
REGN,2024-11-05,824.94,836.63,819.14,829.43,633293,4.49,0.54428,827.535
REGN,2024-11-04,845.59,852.01,826.76,828.84,743692,-16.75,-1.98,838.3
REGN,2024-11-01,844.61,862.0,837.88,843.6,1087300,-1.01,-0.11958,847.0225
REGN,2024-10-31,875.0,883.15,815.99,838.2,2291795,-36.8,-4.21,853.085
REGN,2024-10-30,919.73,935.86,914.85,922.79,628780,3.06,0.33271,923.3075
REGN,2024-10-29,927.2,932.38,923.75,927.33,680470,0.13,0.01402071,927.665
REGN,2024-10-28,934.78,943.27,927.2,928.61,578700,-6.17,-0.66005,933.465
REGN,2024-10-25,930.23,943.83,930.23,933.02,547777,2.79,0.29993,934.3275
REGN,2024-10-24,945.71,952.02,928.5,928.9,523425,-16.81,-1.78,938.7825
REGN,2024-10-23,951.8,959.6,932.53,941.39,850298,-10.41,-1.09,946.33
REGN,2024-10-22,963.0,972.75,919.42,962.34,1511744,-0.66,-0.06853583,954.3775
REGN,2024-10-21,985.9,991.24,967.9,968.5,794308,-17.4,-1.76,978.385
REGN,2024-10-18,998.0,1002.69,989.77,990.68,869228,-7.32,-0.73347,995.285
REGN,2024-10-17,1010.05,1013.09,997.67,998.23,739700,-11.82,-1.17,1004.76
REGN,2024-10-16,1011.57,1020.55,1007.32,1007.96,367145,-3.61,-0.35687,1011.85
REGN,2024-10-15,1016.83,1024.36,1003.79,1016.53,514400,-0.3,-0.02950346,1015.3775
REGN,2024-10-14,1018.48,1023.69,1009.45,1014.25,497320,-4.23,-0.41532,1016.4675
REGN,2024-10-11,1003.31,1017.74,996.28,1015.67,479900,12.36,1.23,1008.25
REGN,2024-10-10,1011.56,1013.91,998.17,999.02,510916,-12.54,-1.24,1005.665
REGN,2024-10-09,1007.46,1014.63,1001.0,1012.19,598337,4.73,0.4695,1008.82
REGN,2024-10-08,1001.5,1007.99,993.01,1005.26,736046,3.76,0.37544,1001.94
REGN,2024-10-07,1011.22,1011.7,992.8,996.05,583567,-15.17,-1.5,1002.9425
REGN,2024-10-04,1015.4,1023.09,1007.28,1012.82,1071800,-2.58,-0.25409,1014.6475
REGN,2024-10-03,1037.5,1038.81,1011.36,1014.59,797597,-22.91,-2.21,1025.565
REGN,2024-10-02,1040.49,1045.95,1025.97,1040.27,687007,-0.22,-0.02114388,1038.17
REGN,2024-10-01,1054.06,1061.6,1040.4,1046.91,599400,-7.15,-0.67833,1050.7425
REGN,2024-09-30,1040.73,1058.27,1039.65,1051.24,599975,10.51,1.01,1047.4725
REGN,2024-09-27,1043.64,1070.0,1036.88,1042.69,659728,-0.95,-0.09102756,1048.3025
REGN,2024-09-26,1062.16,1063.4,1030.27,1039.96,691600,-22.2,-2.09,1048.9475
REGN,2024-09-25,1048.52,1048.52,1008.41,1031.15,1003100,-17.37,-1.66,1034.15
REGN,2024-09-24,1076.33,1080.0,1022.22,1045.98,1695203,-30.35,-2.82,1056.1325
REGN,2024-09-23,1148.18,1154.56,1081.23,1091.98,1168394,-56.2,-4.89,1118.9875
REGN,2024-09-20,1145.99,1149.42,1136.22,1145.03,913953,-0.96,-0.08377036,1144.165
REGN,2024-09-19,1149.66,1165.85,1148.13,1150.19,596700,0.53,0.04610059,1153.4575
REGN,2024-09-18,1151.32,1156.4,1137.64,1138.81,328100,-12.51,-1.09,1146.0425
REGN,2024-09-17,1151.1,1151.1,1134.6,1146.75,348700,-4.35,-0.3779,1145.8875
REGN,2024-09-16,1162.05,1162.05,1152.01,1153.08,346900,-8.97,-0.77191,1157.2975
REGN,2024-09-13,1160.74,1170.58,1150.02,1153.35,353634,-7.39,-0.63666,1158.6725
REGN,2024-09-12,1138.1,1167.63,1127.2,1164.46,569022,26.36,2.32,1149.3475
REGN,2024-09-11,1137.03,1143.19,1113.24,1141.45,481945,4.42,0.38873,1133.7275
REGN,2024-09-10,1144.22,1144.22,1122.53,1136.35,356500,-7.87,-0.6878,1136.83
REGN,2024-09-09,1137.18,1151.13,1132.51,1144.77,513300,7.59,0.66744,1141.3975
REGN,2024-09-06,1150.0,1152.87,1128.97,1131.5,616625,-18.5,-1.61,1140.835
REGN,2024-09-05,1175.16,1175.16,1143.24,1150.56,534411,-24.6,-2.09,1161.03
REGN,2024-09-04,1168.81,1182.31,1163.35,1179.37,333049,10.56,0.90348,1173.46
REGN,2024-09-03,1178.73,1192.54,1162.87,1168.81,579321,-9.92,-0.84158,1175.7375
REGN,2024-08-30,1179.2,1191.33,1170.84,1184.69,405400,5.49,0.46557,1181.515
REGN,2024-08-29,1204.72,1210.97,1175.46,1178.93,538650,-25.79,-2.14,1192.52
REGN,2024-08-28,1196.06,1206.66,1190.17,1199.29,308402,3.23,0.27005,1198.045
REGN,2024-08-27,1199.34,1211.2,1197.13,1201.76,295503,2.42,0.20178,1202.3575
REGN,2024-08-26,1199.12,1206.81,1195.67,1199.37,239724,0.25,0.02084862,1200.2425
REGN,2024-08-23,1195.72,1202.24,1190.0,1199.12,352601,3.4,0.28435,1196.77
REGN,2024-08-22,1189.7,1191.84,1180.0,1187.66,310229,-2.04,-0.17147,1187.3
REGN,2024-08-21,1194.71,1203.49,1184.03,1185.34,342545,-9.37,-0.78429,1191.8925
REGN,2024-08-20,1196.88,1201.59,1185.87,1192.23,372246,-4.65,-0.38851,1194.1425
REGN,2024-08-19,1180.02,1197.69,1178.18,1196.88,445920,16.86,1.43,1188.1925
REGN,2024-08-16,1175.0,1185.09,1166.72,1179.31,564438,4.31,0.36681,1176.53
REGN,2024-08-15,1167.31,1177.95,1155.31,1175.33,569821,8.02,0.68705,1168.975
REGN,2024-08-14,1152.27,1161.21,1138.67,1156.86,443137,4.59,0.39834,1152.2525
REGN,2024-08-13,1125.56,1160.46,1122.51,1158.33,572330,32.77,2.91,1141.715
REGN,2024-08-12,1124.61,1129.99,1109.99,1121.09,501100,-3.52,-0.313,1121.42
REGN,2024-08-09,1113.0,1133.0,1111.11,1131.24,416607,18.24,1.64,1122.0875
REGN,2024-08-08,1074.62,1114.9,1069.03,1113.35,631100,38.73,3.6,1092.975
REGN,2024-08-07,1074.38,1077.09,1061.46,1067.8,502538,-6.58,-0.61245,1070.1825
REGN,2024-08-06,1064.23,1090.78,1064.23,1066.19,445447,1.96,0.18417,1071.3575
REGN,2024-08-05,1082.0,1090.42,1050.01,1071.28,619685,-10.72,-0.99076,1073.4275
