symbol,date,open,high,low,close,volume,change,changePercent,vwap
ROP,2025-04-04,576.78,576.41,544.85,544.93,1229034,-31.85,-5.52204,555.4
ROP,2025-04-03,589.86,590.5,576.81,579.7,993985,-10.16,-1.72,584.2175
ROP,2025-04-02,584.19,592.95,580.07,590.36,412309,6.17,1.06,586.8925
ROP,2025-04-01,585.8,593.0,584.23,590.78,438696,4.98,0.85012,588.4525
ROP,2025-03-31,582.83,592.01,580.19,589.58,994758,6.75,1.16,586.1525
ROP,2025-03-28,589.36,591.72,580.62,582.64,876500,-6.72,-1.14,586.085
ROP,2025-03-27,587.67,594.25,578.11,592.55,627321,4.88,0.8304,588.145
ROP,2025-03-26,579.56,585.27,579.56,582.71,336500,3.15,0.54352,581.775
ROP,2025-03-25,575.77,582.16,572.52,579.07,735500,3.3,0.57315,577.38
ROP,2025-03-24,577.29,579.54,574.16,576.65,568913,-0.64,-0.11086,576.91
ROP,2025-03-21,569.92,573.09,564.26,572.18,879815,2.26,0.39655,569.8625
ROP,2025-03-20,574.31,577.44,570.85,575.45,439205,1.14,0.1985,574.5125
ROP,2025-03-19,579.21,580.33,572.28,577.83,488827,-1.38,-0.23826,577.4125
ROP,2025-03-18,573.84,577.38,569.66,576.86,459800,3.02,0.52628,574.435
ROP,2025-03-17,569.29,578.24,569.29,575.59,499081,6.3,1.11,573.1025
ROP,2025-03-14,566.31,571.79,565.72,569.29,428941,2.98,0.52621,568.2775
ROP,2025-03-13,563.44,567.9,560.78,562.88,431875,-0.56,-0.09938946,563.75
ROP,2025-03-12,566.66,569.23,559.6,566.42,621547,-0.24,-0.04235344,565.4775
ROP,2025-03-11,576.1,576.7,563.93,565.75,611709,-10.35,-1.8,570.62
ROP,2025-03-10,586.83,591.16,574.08,576.45,748722,-10.38,-1.77,582.13
ROP,2025-03-07,585.62,589.92,577.97,588.38,462700,2.76,0.4713,585.4725
ROP,2025-03-06,589.75,592.35,582.86,588.29,569801,-1.46,-0.24756,588.3125
ROP,2025-03-05,582.57,595.17,581.99,593.81,629127,11.24,1.93,588.385
ROP,2025-03-04,586.41,590.0,582.45,584.83,870725,-1.58,-0.26944,585.9225
ROP,2025-03-03,588.49,592.0,583.15,585.81,710009,-2.68,-0.4554,587.3625
ROP,2025-02-28,579.05,584.93,573.66,584.5,911149,5.45,0.9412,580.535
ROP,2025-02-27,574.04,579.95,571.98,572.5,549102,-1.54,-0.26827,574.6175
ROP,2025-02-26,585.2,586.91,574.43,575.15,646057,-10.05,-1.72,580.4225
ROP,2025-02-25,578.14,593.91,577.09,587.34,984014,9.2,1.59,584.12
ROP,2025-02-24,575.12,579.9,572.28,576.58,512121,1.46,0.25386,575.97
ROP,2025-02-21,579.39,580.4,573.54,574.05,634305,-5.34,-0.92166,576.845
ROP,2025-02-20,574.96,581.88,569.01,581.42,474700,6.46,1.12,576.8175
ROP,2025-02-19,572.53,577.95,568.14,577.04,478000,4.51,0.78773,573.915
ROP,2025-02-18,572.93,574.14,569.48,572.53,550804,-0.4,-0.06981656,572.27
ROP,2025-02-14,575.0,577.93,572.93,573.58,353200,-1.42,-0.24696,574.86
ROP,2025-02-13,569.38,575.43,565.28,573.43,400407,4.05,0.7113,570.88
ROP,2025-02-12,573.63,575.82,566.46,566.76,688509,-6.87,-1.2,570.6675
ROP,2025-02-11,570.5,581.43,570.5,581.35,552900,10.85,1.9,575.945
ROP,2025-02-10,573.3,575.26,567.41,574.52,569137,1.22,0.2128,572.6225
ROP,2025-02-07,583.45,584.43,572.58,572.76,496633,-10.69,-1.83,578.305
ROP,2025-02-06,582.37,583.77,577.71,583.42,714835,1.05,0.1803,581.8175
ROP,2025-02-05,578.14,582.25,573.12,581.42,484800,3.28,0.56734,578.7325
ROP,2025-02-04,578.07,579.62,571.16,577.67,768127,-0.4,-0.06919577,576.63
ROP,2025-02-03,575.24,581.5,569.68,577.04,892400,1.8,0.31291,575.865
ROP,2025-01-31,572.0,581.92,570.07,575.65,1158100,3.65,0.63811,574.91
ROP,2025-01-30,565.99,584.31,561.6,570.6,1153931,4.61,0.8145,570.625
ROP,2025-01-29,547.9,549.91,542.86,543.02,691300,-4.88,-0.89067,545.9225
ROP,2025-01-28,540.11,553.25,535.69,549.62,686055,9.51,1.76,544.6675
ROP,2025-01-27,527.91,541.67,527.2,541.33,748500,13.42,2.54,534.5275
ROP,2025-01-24,532.46,535.0,529.34,531.37,385457,-1.09,-0.20471,532.0425
ROP,2025-01-23,531.1,533.36,528.04,533.24,387632,2.14,0.40294,531.435
ROP,2025-01-22,530.88,535.93,529.91,534.45,481134,3.57,0.67247,532.7925
ROP,2025-01-21,524.09,531.42,523.04,530.79,686400,6.7,1.28,527.335
ROP,2025-01-17,529.06,529.06,520.07,522.32,763800,-6.74,-1.27,525.1275
ROP,2025-01-16,518.8,520.2,515.81,519.1,619737,0.3,0.05782575,518.4775
ROP,2025-01-15,517.98,521.01,513.77,517.96,1000800,-0.02,-0.00386115,517.68
ROP,2025-01-14,506.76,511.87,505.6,510.69,535830,3.93,0.77552,508.73
ROP,2025-01-13,499.47,509.86,499.47,508.0,572715,8.53,1.71,504.2
ROP,2025-01-10,507.47,510.76,502.1,502.71,575600,-4.76,-0.93799,505.76
ROP,2025-01-08,507.32,511.87,504.31,510.3,960728,2.98,0.5874,508.45
ROP,2025-01-07,508.47,513.66,504.53,507.1,621714,-1.37,-0.26944,508.44
ROP,2025-01-06,512.74,513.45,504.76,507.1,969000,-5.64,-1.1,509.5125
ROP,2025-01-03,520.66,520.66,513.21,514.64,478700,-6.02,-1.16,517.2925
ROP,2025-01-02,524.7,524.7,513.62,513.79,653431,-10.91,-2.08,519.2025
ROP,2024-12-31,521.06,522.02,516.91,519.85,452254,-1.21,-0.23222,519.96
ROP,2024-12-30,519.51,521.82,513.91,519.87,357430,0.36,0.06929607,518.7775
ROP,2024-12-27,525.06,527.59,520.21,523.91,422400,-1.15,-0.21902,524.1925
