symbol,date,open,high,low,close,volume,change,changePercent,vwap
ROST,2025-04-04,131.4,136.42,129.6,131.38,3854675,-0.02,-0.0152207,132.47
ROST,2025-04-03,129.86,133.85,128.59,131.21,4053458,1.35,1.04,130.8775
ROST,2025-04-02,127.7,133.09,127.68,132.37,2137400,4.67,3.66,130.21
ROST,2025-04-01,127.88,129.65,127.81,129.11,1904204,1.23,0.96184,128.6125
ROST,2025-03-31,124.6,128.25,124.07,127.79,3318300,3.19,2.56,126.1775
ROST,2025-03-28,128.36,128.36,125.02,125.42,2273715,-2.94,-2.29,126.79
ROST,2025-03-27,127.71,129.76,127.36,129.09,2120200,1.38,1.08,128.48
ROST,2025-03-26,128.46,128.67,127.1,127.7,1901200,-0.76,-0.59162,127.9825
ROST,2025-03-25,128.72,129.67,127.22,128.13,3660746,-0.59,-0.45836,128.435
ROST,2025-03-24,125.26,129.28,124.83,129.18,4208589,3.92,3.13,127.1375
ROST,2025-03-21,123.11,124.86,122.36,123.54,6659868,0.43,0.34928,123.4675
ROST,2025-03-20,125.13,126.33,124.14,124.6,4366520,-0.53,-0.42356,125.05
ROST,2025-03-19,124.71,126.93,124.02,125.95,5331200,1.24,0.99431,125.4025
ROST,2025-03-18,124.28,124.62,122.9,123.71,3359655,-0.57,-0.45864,123.8775
ROST,2025-03-17,124.93,126.08,124.19,125.54,3868400,0.61,0.48827,125.185
ROST,2025-03-14,123.84,125.18,122.77,124.21,4042930,0.37,0.29877,124.0
ROST,2025-03-13,126.3,126.51,123.01,123.3,3320657,-3.0,-2.38,124.78
ROST,2025-03-12,129.32,129.59,126.44,126.52,4954800,-2.8,-2.17,127.9675
ROST,2025-03-11,132.15,132.38,128.56,128.65,4410400,-3.5,-2.65,130.435
ROST,2025-03-10,135.39,136.68,131.93,132.12,3694100,-3.27,-2.42,134.03
ROST,2025-03-07,138.3,138.69,133.92,135.96,4252700,-2.34,-1.69,136.7175
ROST,2025-03-06,138.02,141.8,137.66,137.89,4014406,-0.13,-0.09418925,138.8425
ROST,2025-03-05,129.4,139.22,129.26,138.64,5162622,9.24,7.14,134.13
ROST,2025-03-04,137.11,137.65,134.75,135.97,4108819,-1.14,-0.83145,136.37
ROST,2025-03-03,140.5,141.09,136.4,136.81,3423100,-3.69,-2.63,138.7
ROST,2025-02-28,138.83,141.1,137.99,140.32,3137802,1.49,1.07,139.56
ROST,2025-02-27,139.01,139.77,137.83,138.02,2291451,-0.99,-0.71218,138.6575
ROST,2025-02-26,138.0,140.7,137.38,138.78,4394940,0.78,0.56522,138.715
ROST,2025-02-25,136.9,137.84,135.86,136.45,2163783,-0.45,-0.32871,136.7625
ROST,2025-02-24,137.09,137.09,135.03,135.93,2035444,-1.16,-0.84616,136.285
ROST,2025-02-21,139.44,140.33,135.92,136.61,2677000,-2.83,-2.03,138.075
ROST,2025-02-20,139.14,139.67,137.12,139.09,2442300,-0.05,-0.03593503,138.755
ROST,2025-02-19,138.39,140.14,137.5,139.73,2420390,1.34,0.96828,138.94
ROST,2025-02-18,139.67,139.76,136.58,139.09,2250265,-0.58,-0.41526,138.775
ROST,2025-02-14,140.71,140.93,138.74,138.76,2350914,-1.95,-1.39,139.785
ROST,2025-02-13,139.59,140.61,139.05,140.44,1674402,0.85,0.60893,139.9225
ROST,2025-02-12,140.91,140.91,138.75,139.55,1888000,-1.36,-0.96516,140.03
ROST,2025-02-11,141.0,141.52,140.14,141.27,2704129,0.27,0.19149,140.9825
ROST,2025-02-10,143.89,143.89,139.84,142.13,2185269,-1.75,-1.22,142.4375
ROST,2025-02-07,144.44,144.44,141.53,142.59,2877200,-1.85,-1.28,143.25
ROST,2025-02-06,148.48,148.91,144.87,145.02,2478842,-3.46,-2.33,146.82
ROST,2025-02-05,147.4,147.66,145.94,147.44,1528392,0.04,0.02713704,147.11
