symbol,date,open,high,low,close,volume,change,changePercent,vwap
SBUX,2025-04-04,84.59,85.405,81.31,82.425,16477069,-2.17,-2.5594,83.05
SBUX,2025-04-03,93.35,93.39,87.65,88.26,20419420,-5.09,-5.45,90.6625
SBUX,2025-04-02,97.41,99.75,97.41,99.41,6043300,2.0,2.05,98.495
SBUX,2025-04-01,97.85,98.9,97.13,98.23,5868429,0.38,0.38835,98.0275
SBUX,2025-03-31,96.62,98.82,94.58,98.09,11302900,1.47,1.52,97.0275
SBUX,2025-03-28,98.0,98.49,97.06,97.73,8066627,-0.27,-0.27551,97.82
SBUX,2025-03-27,97.9,99.92,97.54,98.85,9141000,0.95,0.97038,98.5525
SBUX,2025-03-26,96.0,98.39,96.0,97.97,9567221,1.97,2.05,97.09
SBUX,2025-03-25,96.19,96.97,94.77,95.88,6984820,-0.31,-0.32228,95.9525
SBUX,2025-03-24,98.03,98.2,95.63,95.72,8265000,-2.31,-2.36,96.895
SBUX,2025-03-21,97.94,98.01,96.29,97.07,11366025,-0.87,-0.8883,97.3275
SBUX,2025-03-20,98.85,99.69,98.67,99.28,5952800,0.43,0.435,99.1225
SBUX,2025-03-19,98.27,99.53,97.95,99.19,4982700,0.92,0.9362,98.735
SBUX,2025-03-18,99.23,99.37,97.68,98.28,7423400,-0.95,-0.95737,98.64
SBUX,2025-03-17,97.71,99.45,97.0,99.08,10132105,1.37,1.4,98.31
SBUX,2025-03-14,96.52,98.25,96.16,98.11,8240921,1.59,1.65,97.26
SBUX,2025-03-13,98.71,98.87,95.93,96.04,9274347,-2.67,-2.7,97.3875
SBUX,2025-03-12,100.3,100.3,96.97,98.69,9461200,-1.61,-1.61,99.065
SBUX,2025-03-11,101.89,103.0,99.0,99.58,10663530,-2.31,-2.27,100.8675
SBUX,2025-03-10,105.73,106.0,99.8,101.13,15823316,-4.61,-4.35,103.165
SBUX,2025-03-07,104.73,106.86,103.44,106.48,11637400,1.75,1.67,105.3775
SBUX,2025-03-06,110.01,110.43,104.91,105.47,16321746,-4.54,-4.13,107.705
SBUX,2025-03-05,111.57,112.52,110.21,111.69,11926817,0.12,0.10756,111.4975
SBUX,2025-03-04,114.99,115.27,112.0,112.06,12482400,-2.93,-2.55,113.58
SBUX,2025-03-03,116.04,117.46,114.1,115.41,9225548,-0.63,-0.54292,115.7525
SBUX,2025-02-28,115.06,116.09,114.27,115.81,11466019,0.75,0.65183,115.3075
SBUX,2025-02-27,113.0,115.7,112.8,114.49,9013720,1.49,1.32,113.9975
SBUX,2025-02-26,114.61,114.79,112.26,113.0,7466800,-1.61,-1.4,113.665
SBUX,2025-02-25,113.08,115.24,112.67,114.59,11001800,1.51,1.34,113.895
SBUX,2025-02-24,112.34,113.91,111.89,113.19,13120500,0.85,0.75663,112.8325
SBUX,2025-02-21,113.33,114.68,111.63,111.75,9664734,-1.58,-1.39,112.8475
SBUX,2025-02-20,112.17,113.5,111.96,113.34,6343805,1.17,1.04,112.7425
SBUX,2025-02-19,112.44,113.34,112.34,112.49,8268900,0.05,0.04446816,112.6525
SBUX,2025-02-18,111.8,113.36,111.62,113.03,7574100,1.23,1.1,112.4525
SBUX,2025-02-14,112.82,113.47,112.03,112.55,9115007,-0.27,-0.23932,112.7175
SBUX,2025-02-13,113.12,113.4,111.53,113.0,10046300,-0.12,-0.10608,112.7625
SBUX,2025-02-12,110.56,113.19,110.4,113.04,7269400,2.48,2.24,111.7975
SBUX,2025-02-11,110.88,112.08,110.61,111.03,4683518,0.15,0.13528,111.15
SBUX,2025-02-10,112.58,112.58,111.0,111.45,8348400,-1.12,-1.0,111.9025
SBUX,2025-02-07,111.43,112.62,110.06,112.2,11502400,0.77,0.69102,111.5775
SBUX,2025-02-06,112.05,112.31,111.05,111.7,11967307,-0.35,-0.31236,111.7775
SBUX,2025-02-05,110.18,112.42,109.86,112.25,12830989,2.07,1.88,111.1775
SBUX,2025-02-04,108.67,111.07,108.13,110.6,11123739,1.93,1.78,109.6175
SBUX,2025-02-03,105.72,108.44,105.52,108.16,8894100,2.44,2.31,106.96
SBUX,2025-01-31,109.0,109.36,107.5,107.68,19142500,-1.32,-1.21,108.385
SBUX,2025-01-30,109.0,110.34,108.03,109.0,15023027,0.0,0.0,109.0925
SBUX,2025-01-29,102.7,110.08,102.68,108.58,40769321,5.88,5.73,106.01
SBUX,2025-01-28,98.94,100.68,98.59,100.41,14736500,1.47,1.49,99.655
SBUX,2025-01-27,98.52,100.33,98.1,100.02,9654900,1.5,1.52,99.2425
SBUX,2025-01-24,97.79,99.01,97.62,98.81,6957146,1.02,1.04,98.3075
SBUX,2025-01-23,98.0,98.03,97.02,97.99,7901800,-0.01,-0.01020408,97.76
SBUX,2025-01-22,97.98,98.54,97.46,97.73,7678900,-0.25,-0.25515,97.9275
SBUX,2025-01-21,95.41,98.58,95.41,97.98,8803122,2.57,2.69,96.845
SBUX,2025-01-17,95.58,95.86,95.1,95.13,8362145,-0.45,-0.47081,95.4175
SBUX,2025-01-16,92.87,94.77,92.87,94.43,6548200,1.56,1.68,93.735
SBUX,2025-01-15,94.1,94.47,92.95,93.08,4554743,-1.02,-1.08,93.65
SBUX,2025-01-14,94.01,94.89,92.52,93.07,6406229,-0.94,-0.99989,93.6225
SBUX,2025-01-13,92.27,93.59,91.38,93.51,6912144,1.25,1.34,92.6875
SBUX,2025-01-10,92.19,92.79,91.93,92.25,6550328,0.06,0.06508298,92.29
SBUX,2025-01-08,92.97,93.01,92.01,92.6,6243744,-0.37,-0.39798,92.6475
SBUX,2025-01-07,92.78,93.65,91.86,92.84,6638300,0.06,0.06466911,92.7825
SBUX,2025-01-06,92.04,94.5,91.94,93.13,8768100,1.09,1.18,92.9025
SBUX,2025-01-03,92.4,93.12,91.8,92.58,4966947,0.18,0.19481,92.475
SBUX,2025-01-02,91.55,92.66,91.41,92.17,8642734,0.62,0.67723,91.9475
SBUX,2024-12-31,90.73,91.77,90.59,91.25,4220716,0.52,0.57313,91.085
SBUX,2024-12-30,91.29,91.32,89.84,90.58,8404500,-0.71,-0.77774,90.7575
SBUX,2024-12-27,90.9,93.2,90.88,92.25,8200400,1.35,1.49,91.8075
SBUX,2024-12-26,89.37,92.05,89.37,91.86,7542683,2.49,2.79,90.6625
SBUX,2024-12-24,87.4,89.92,87.17,89.91,5422008,2.51,2.87,88.6
SBUX,2024-12-23,87.5,87.88,86.3,87.44,11203734,-0.06,-0.06857143,87.28
SBUX,2024-12-20,87.86,89.16,87.07,87.97,26477500,0.11,0.1252,88.015
SBUX,2024-12-19,90.24,91.58,88.67,88.76,14628408,-1.48,-1.64,89.8125
SBUX,2024-12-18,91.77,92.25,89.64,89.9,10886600,-1.87,-2.04,90.89
SBUX,2024-12-17,93.01,93.94,92.05,92.09,8536100,-0.92,-0.98914,92.7725
SBUX,2024-12-16,96.95,97.0,93.1,93.12,12395900,-3.82,-3.95,95.0425
