symbol,date,open,high,low,close,volume,change,changePercent,vwap
SNPS,2025-04-04,403.36,408.52,387.54,391.32,2058892,-12.04,-2.98493,395.79
SNPS,2025-04-03,417.68,419.39,405.0,417.76,2131825,0.08,0.01915342,414.96
SNPS,2025-04-02,426.16,443.62,425.0,438.55,1111200,12.39,2.91,433.33
SNPS,2025-04-01,430.11,436.72,423.17,435.94,986032,5.83,1.36,431.49
SNPS,2025-03-31,429.02,431.69,423.08,428.85,1371426,-0.17,-0.03962519,428.16
SNPS,2025-03-28,446.92,448.05,437.06,437.95,941719,-8.97,-2.01,442.5
SNPS,2025-03-27,445.48,450.58,440.43,446.23,699038,0.75,0.16836,445.68
SNPS,2025-03-26,454.35,460.44,447.11,449.9,749428,-4.45,-0.97942,452.95
SNPS,2025-03-25,457.43,458.64,453.71,457.23,759070,-0.2,-0.04372254,456.7525
SNPS,2025-03-24,456.82,464.22,455.54,457.77,974226,0.95,0.20796,458.5875
SNPS,2025-03-21,441.2,454.61,438.12,448.6,3362302,7.4,1.68,445.6325
SNPS,2025-03-20,446.89,453.93,443.19,449.99,810419,3.1,0.69368,448.5
SNPS,2025-03-19,447.18,455.49,440.82,450.28,1108452,3.1,0.69323,448.4425
SNPS,2025-03-18,448.81,454.59,445.02,447.99,1020147,-0.82,-0.18271,449.1025
SNPS,2025-03-17,445.0,460.81,440.0,453.51,1489154,8.51,1.91,449.83
SNPS,2025-03-14,433.05,447.98,433.05,446.23,1118161,13.18,3.04,440.0775
SNPS,2025-03-13,431.63,439.44,425.73,428.58,1541581,-3.05,-0.70662,431.345
SNPS,2025-03-12,442.23,449.74,431.85,432.46,1900100,-9.77,-2.21,439.07
SNPS,2025-03-11,431.03,440.52,427.73,430.68,1588508,-0.35,-0.08120084,432.49
SNPS,2025-03-10,437.4,441.58,427.3,429.85,1713726,-7.55,-1.73,434.0325
SNPS,2025-03-07,443.26,452.54,433.5,450.88,1119376,7.62,1.72,445.045
SNPS,2025-03-06,439.0,450.36,435.84,445.73,1524700,6.73,1.53,442.7325
SNPS,2025-03-05,437.32,451.29,433.91,447.96,1274126,10.64,2.43,442.62
SNPS,2025-03-04,440.37,451.97,429.77,445.47,1641296,5.1,1.16,441.895
SNPS,2025-03-03,463.57,467.73,442.29,443.26,2102310,-20.31,-4.38,454.2125
SNPS,2025-02-28,462.29,463.48,448.11,457.28,1581756,-5.01,-1.08,457.79
SNPS,2025-02-27,481.5,488.0,454.05,454.71,2037308,-26.79,-5.56,469.565
SNPS,2025-02-26,465.0,476.71,462.25,470.46,1540316,5.46,1.17,468.605
SNPS,2025-02-25,467.64,469.27,457.0,457.95,1867314,-9.69,-2.07,462.965
SNPS,2025-02-24,479.28,481.13,465.0,470.08,1374000,-9.2,-1.92,473.8725
SNPS,2025-02-21,493.74,493.74,472.74,474.84,1371042,-18.9,-3.83,483.765
SNPS,2025-02-20,502.41,505.17,493.48,493.97,1271057,-8.44,-1.68,498.7575
SNPS,2025-02-19,521.27,521.27,486.57,500.98,2417929,-20.29,-3.89,507.5225
SNPS,2025-02-18,527.96,528.0,516.07,525.0,1119013,-2.96,-0.56065,524.2575
SNPS,2025-02-14,527.36,527.66,519.41,522.53,943782,-4.83,-0.91588,524.24
SNPS,2025-02-13,509.71,529.37,508.31,528.29,1049392,18.58,3.65,518.92
SNPS,2025-02-12,513.58,517.72,507.95,509.71,979955,-3.87,-0.75353,512.24
SNPS,2025-02-11,526.81,530.03,524.58,529.14,431600,2.33,0.44228,527.64
SNPS,2025-02-10,527.85,536.21,526.27,531.33,769141,3.48,0.65928,530.415
SNPS,2025-02-07,536.0,545.65,522.0,525.82,703270,-10.18,-1.9,532.3675
SNPS,2025-02-06,530.99,536.04,528.88,533.18,683800,2.19,0.41244,532.2725
SNPS,2025-02-05,524.57,529.64,515.79,528.42,547719,3.85,0.73393,524.605
SNPS,2025-02-04,516.91,524.35,514.82,523.88,859649,6.97,1.35,519.99
SNPS,2025-02-03,511.69,526.11,510.0,520.25,765400,8.56,1.67,517.0125
SNPS,2025-01-31,528.26,533.98,523.47,525.48,1095262,-2.78,-0.52626,527.7975
SNPS,2025-01-30,515.9,528.15,515.74,526.36,741343,10.46,2.03,521.5375
SNPS,2025-01-29,523.61,523.96,511.22,512.71,891711,-10.9,-2.08,517.875
