symbol,date,open,high,low,close,volume,change,changePercent,vwap
TEAM,2025-04-04,193.775,193.8,181.78,189.18,2512663,-4.59,-2.37131,188.25
TEAM,2025-04-03,209.82,211.05,195.68,198.35,3316297,-11.47,-5.47,203.725
TEAM,2025-04-02,215.47,227.31,214.0,223.96,2334500,8.49,3.94,220.185
TEAM,2025-04-01,211.17,216.45,207.48,216.41,2425541,5.24,2.48,212.8775
TEAM,2025-03-31,212.17,213.5,205.42,212.21,2397698,0.04,0.01885281,210.825
TEAM,2025-03-28,221.5,223.11,214.01,217.99,2419000,-3.51,-1.58,219.1525
TEAM,2025-03-27,227.71,228.06,221.78,222.64,1755362,-5.07,-2.23,225.0475
TEAM,2025-03-26,235.0,237.32,227.44,229.65,1447200,-5.35,-2.28,232.3525
TEAM,2025-03-25,235.36,238.71,234.02,236.22,1531338,0.86,0.3654,236.0775
TEAM,2025-03-24,233.63,236.5,231.49,234.62,1897488,0.99,0.42375,234.06
TEAM,2025-03-21,222.06,228.11,218.42,227.34,2518446,5.28,2.38,223.9825
TEAM,2025-03-20,226.33,230.89,224.28,226.16,2300618,-0.17,-0.07511156,226.915
TEAM,2025-03-19,220.34,233.56,219.98,229.86,3164664,9.52,4.32,225.935
TEAM,2025-03-18,219.99,221.47,213.04,219.45,2419233,-0.54,-0.24547,218.4875
TEAM,2025-03-17,216.18,224.52,216.18,220.98,2116621,4.8,2.22,219.465
TEAM,2025-03-14,214.3,221.24,212.7,218.44,3067073,4.14,1.93,216.67
TEAM,2025-03-13,224.02,224.19,207.51,208.0,4236030,-16.02,-7.15,215.93
TEAM,2025-03-12,231.0,233.2,224.39,226.44,2804139,-4.56,-1.97,228.7575
TEAM,2025-03-11,216.08,226.94,215.9,224.1,3752314,8.02,3.71,220.755
TEAM,2025-03-10,230.58,231.11,212.97,215.89,4919700,-14.69,-6.37,222.6375
TEAM,2025-03-07,249.62,251.0,229.19,238.86,3872751,-10.76,-4.31,242.1675
TEAM,2025-03-06,268.69,271.46,249.54,250.66,2389700,-18.03,-6.71,260.0875
TEAM,2025-03-05,273.87,277.21,269.0,276.73,1853476,2.86,1.04,274.2025
TEAM,2025-03-04,270.1,278.11,262.27,273.62,2119290,3.52,1.3,271.025
TEAM,2025-03-03,284.69,287.26,272.5,274.22,1641968,-10.47,-3.68,279.6675
TEAM,2025-02-28,277.3,284.35,273.93,284.26,2208697,6.96,2.51,279.96
TEAM,2025-02-27,291.61,295.91,278.15,278.48,1480900,-13.13,-4.5,286.0375
TEAM,2025-02-26,286.0,293.53,286.0,288.76,2126600,2.76,0.96503,288.5725
TEAM,2025-02-25,280.2,285.86,273.54,284.26,1551700,4.06,1.45,280.965
TEAM,2025-02-24,286.19,286.77,274.7,284.06,1502433,-2.13,-0.74426,282.93
TEAM,2025-02-21,296.86,298.63,283.46,285.99,1717559,-10.87,-3.66,291.235
TEAM,2025-02-20,299.81,303.33,293.05,298.49,1738936,-1.32,-0.44028,298.67
TEAM,2025-02-19,311.27,315.03,302.52,303.72,2334849,-7.55,-2.43,308.135
TEAM,2025-02-18,314.0,316.99,308.8,315.44,2265931,1.44,0.4586,313.8075
TEAM,2025-02-14,312.58,314.35,307.31,313.1,2882532,0.52,0.16636,311.835
TEAM,2025-02-13,318.45,320.88,313.77,316.0,1460240,-2.45,-0.76935,317.275
TEAM,2025-02-12,313.63,318.5,310.64,318.45,1225725,4.82,1.54,315.305
TEAM,2025-02-11,318.48,324.16,314.81,315.0,1214708,-3.48,-1.09,318.1125
TEAM,2025-02-10,319.84,326.0,316.5,322.94,2042100,3.1,0.96923,321.32
TEAM,2025-02-07,320.45,322.5,312.93,314.28,1206348,-6.17,-1.93,317.54
TEAM,2025-02-06,320.41,324.2,318.01,319.0,1406343,-1.41,-0.44006,320.405
TEAM,2025-02-05,316.74,321.52,314.44,320.8,1603620,4.06,1.28,318.375
TEAM,2025-02-04,310.81,322.0,310.47,316.73,1928249,5.92,1.9,315.0025
TEAM,2025-02-03,299.11,315.67,296.0,311.4,3125100,12.29,4.11,305.545
TEAM,2025-01-31,320.51,324.37,300.79,306.78,8332700,-13.73,-4.28,313.1125
TEAM,2025-01-30,264.65,270.87,262.38,266.95,4077010,2.3,0.86907,266.2125
TEAM,2025-01-29,273.49,274.77,266.23,271.33,1652541,-2.16,-0.78979,271.455
TEAM,2025-01-28,266.02,282.0,264.9,274.71,2530179,8.69,3.27,271.9075
TEAM,2025-01-27,262.59,277.15,260.45,268.0,2005117,5.41,2.06,267.0475
TEAM,2025-01-24,267.41,271.53,264.03,264.81,1143483,-2.6,-0.97229,266.945
TEAM,2025-01-23,261.66,269.38,258.64,265.7,1787031,4.04,1.54,263.845
TEAM,2025-01-22,260.35,261.2,257.45,260.85,1341521,0.5,0.19205,259.9625
TEAM,2025-01-21,254.04,257.85,252.05,256.19,1153300,2.15,0.84632,255.0325
TEAM,2025-01-17,259.85,259.85,251.49,252.36,1192862,-7.49,-2.88,255.8875
TEAM,2025-01-16,255.16,256.32,252.54,254.25,1819100,-0.91,-0.35664,254.5675
TEAM,2025-01-15,255.02,258.78,248.09,250.03,1713723,-4.99,-1.96,252.98
TEAM,2025-01-14,239.73,247.33,238.41,246.4,2049881,6.67,2.78,242.9675
TEAM,2025-01-13,238.39,239.79,235.44,236.24,1091869,-2.15,-0.90188,237.465
TEAM,2025-01-10,248.28,248.58,241.43,242.39,1809159,-5.89,-2.37,245.17
TEAM,2025-01-08,245.37,248.55,239.96,244.49,1659846,-0.88,-0.35864,244.5925
TEAM,2025-01-07,259.72,262.11,246.59,247.85,1599392,-11.87,-4.57,254.0675
TEAM,2025-01-06,255.25,259.5,251.43,254.63,2586288,-0.62,-0.2429,255.2025
TEAM,2025-01-03,244.51,251.0,242.89,250.27,2125250,5.76,2.36,247.1675
TEAM,2025-01-02,244.53,246.37,239.92,242.39,2096799,-2.14,-0.87515,243.3025
TEAM,2024-12-31,248.25,248.77,241.52,243.38,1146659,-4.87,-1.96,245.48
TEAM,2024-12-30,246.23,248.86,243.39,247.1,799477,0.87,0.35333,246.395
TEAM,2024-12-27,253.66,253.66,247.56,250.11,934044,-3.55,-1.4,251.2475
TEAM,2024-12-26,255.0,256.9,254.19,254.24,1627573,-0.76,-0.29804,255.0825
TEAM,2024-12-24,252.69,257.72,251.02,257.49,844540,4.8,1.9,254.73
TEAM,2024-12-23,259.49,259.49,250.37,251.4,1559652,-8.09,-3.12,255.1875
TEAM,2024-12-20,247.08,257.81,246.01,257.26,3001768,10.18,4.12,252.04
TEAM,2024-12-19,255.57,259.15,249.4,251.23,2026000,-4.34,-1.7,253.8375
TEAM,2024-12-18,269.31,270.27,249.62,250.19,3544999,-19.12,-7.1,259.8475
TEAM,2024-12-17,277.21,278.93,269.44,269.79,2849856,-7.42,-2.68,273.8425
