symbol,date,open,high,low,close,volume,change,changePercent,vwap
TMUS,2025-04-04,267.91,269.65,247.82,248.23,5570984,-19.68,-7.34575,255.23
TMUS,2025-04-03,265.2,272.6,264.94,267.89,5647531,2.69,1.01,267.6575
TMUS,2025-04-02,268.5,268.51,262.42,264.56,2969500,-3.94,-1.47,265.9975
TMUS,2025-04-01,265.95,268.7,262.63,268.54,3025400,2.59,0.97387,266.455
TMUS,2025-03-31,264.71,268.1,264.6,266.71,4073200,2.0,0.75554,266.03
TMUS,2025-03-28,270.34,270.83,264.28,264.93,3322700,-5.41,-2.0,267.595
TMUS,2025-03-27,262.92,268.74,262.92,268.28,4228510,5.36,2.04,265.715
TMUS,2025-03-26,260.53,264.95,260.45,262.51,4683935,1.98,0.75999,262.11
TMUS,2025-03-25,257.12,261.11,256.42,258.75,2988009,1.63,0.63395,258.35
TMUS,2025-03-24,258.81,260.83,257.6,258.96,2897092,0.15,0.05795758,259.05
TMUS,2025-03-21,254.44,258.44,254.33,255.84,9207192,1.4,0.55023,255.7625
TMUS,2025-03-20,258.33,259.0,256.41,257.03,3729149,-1.3,-0.50323,257.6925
TMUS,2025-03-19,262.29,262.49,258.76,259.25,2927191,-3.04,-1.16,260.6975
TMUS,2025-03-18,261.4,261.98,257.82,260.73,3088929,-0.67,-0.25631,260.4825
TMUS,2025-03-17,254.29,261.77,252.93,260.17,4329746,5.88,2.31,257.29
TMUS,2025-03-14,253.49,257.46,252.49,255.98,3511100,2.49,0.98229,254.855
TMUS,2025-03-13,256.73,263.28,256.26,259.1,4196600,2.37,0.92315,258.8425
TMUS,2025-03-12,254.51,256.96,248.26,255.61,3983032,1.1,0.4322,253.835
TMUS,2025-03-11,258.8,259.92,252.52,256.67,5171129,-2.13,-0.82303,256.9775
TMUS,2025-03-10,263.99,271.59,263.35,266.63,5173500,2.64,1.0,266.39
TMUS,2025-03-07,262.43,266.61,261.33,265.24,3289848,2.81,1.07,263.9025
TMUS,2025-03-06,261.48,263.97,259.33,262.95,3276637,1.47,0.56218,261.9325
TMUS,2025-03-05,261.01,263.54,257.48,262.74,5161017,1.73,0.66281,261.1925
TMUS,2025-03-04,273.12,274.95,264.45,264.65,4694600,-8.47,-3.1,269.2925
TMUS,2025-03-03,269.29,276.49,269.29,272.83,4025400,3.54,1.31,271.975
TMUS,2025-02-28,266.27,269.99,263.89,269.69,4721100,3.42,1.28,267.46
TMUS,2025-02-27,263.23,266.29,262.14,264.17,3562000,0.94,0.3571,263.9575
TMUS,2025-02-26,266.17,267.5,261.96,263.58,4473441,-2.59,-0.97306,264.8025
TMUS,2025-02-25,269.23,272.7,268.28,270.54,3516500,1.31,0.48657,270.1875
TMUS,2025-02-24,267.97,273.4,267.57,268.13,4141327,0.16,0.05970818,269.2675
TMUS,2025-02-21,265.44,267.66,263.5,265.17,3554397,-0.265,-0.10172,265.4425
TMUS,2025-02-20,263.0,265.75,262.16,265.4,2795066,2.4,0.91255,264.0775
TMUS,2025-02-19,262.7,264.25,259.83,263.35,3788019,0.65,0.24743,262.5325
TMUS,2025-02-18,270.0,270.75,262.55,263.21,3879310,-6.79,-2.51,266.6275
TMUS,2025-02-14,266.69,271.41,264.4,270.82,4835552,4.13,1.55,268.33
TMUS,2025-02-13,255.05,266.0,255.0,265.08,3859940,10.03,3.93,260.2825
TMUS,2025-02-12,256.39,259.59,255.16,255.28,3220033,-1.11,-0.43293,256.605
TMUS,2025-02-11,255.12,259.46,253.35,258.7,2598224,3.58,1.4,256.6575
TMUS,2025-02-10,254.93,256.48,251.25,255.83,4887600,0.905,0.35304,254.6225
TMUS,2025-02-07,247.5,250.5,246.1,246.24,3434762,-1.26,-0.50909,247.585
TMUS,2025-02-06,243.61,247.6,243.42,247.17,3272200,3.56,1.46,245.45
TMUS,2025-02-05,237.85,242.7,237.64,242.43,3131411,4.58,1.93,240.155
TMUS,2025-02-04,236.31,240.84,235.39,237.25,3285908,0.94,0.39778,237.4475
TMUS,2025-02-03,235.94,238.35,232.6,238.1,3720012,2.16,0.91549,236.2475
TMUS,2025-01-31,234.5,235.48,231.0,232.97,3338009,-1.53,-0.65245,233.4875
TMUS,2025-01-30,239.21,240.84,233.97,234.37,4205200,-4.84,-2.02,237.0975
TMUS,2025-01-29,238.0,241.4,233.23,235.15,8859500,-2.85,-1.2,236.945
TMUS,2025-01-28,220.21,224.16,218.8,221.14,3975500,0.93,0.42232,221.0775
TMUS,2025-01-27,216.79,223.33,216.79,221.43,4153136,4.64,2.14,219.585
TMUS,2025-01-24,216.85,218.6,215.74,218.57,3118512,1.72,0.79318,217.44
TMUS,2025-01-23,218.66,219.41,215.37,216.04,3628414,-2.62,-1.2,217.37
TMUS,2025-01-22,219.19,220.86,218.08,218.18,4124311,-1.01,-0.46079,219.0775
TMUS,2025-01-21,218.24,220.28,218.13,219.49,3700423,1.25,0.57276,219.035
TMUS,2025-01-17,219.21,219.5,217.64,218.97,4259900,-0.238,-0.10948,218.83
TMUS,2025-01-16,213.39,216.74,213.39,215.75,2411392,2.37,1.11,214.8175
TMUS,2025-01-15,216.14,217.56,213.88,214.2,3116086,-1.94,-0.89757,215.445
TMUS,2025-01-14,213.43,214.64,211.34,214.18,3537400,0.75,0.3514,213.3975
TMUS,2025-01-13,211.33,215.41,210.71,213.46,3645128,2.13,1.01,212.7275
TMUS,2025-01-10,212.63,213.45,209.83,211.3,4175486,-1.33,-0.6255,211.8025
TMUS,2025-01-08,214.23,215.76,212.2,215.52,3270029,1.29,0.60216,214.4275
TMUS,2025-01-07,211.38,215.43,211.38,212.34,5039300,0.955,0.45416,212.6325
TMUS,2025-01-06,213.45,215.0,208.39,212.38,5639700,-1.07,-0.50129,212.305
TMUS,2025-01-03,221.15,221.35,218.87,219.11,2738187,-2.04,-0.92245,220.12
TMUS,2025-01-02,222.18,222.52,218.65,219.53,2850958,-2.65,-1.19,220.72
