symbol,date,open,high,low,close,volume,change,changePercent,vwap
TTD,2025-04-04,46.8983,48.025,45.0203,46.345,13252103,-0.5533,-1.17979,46.46
TTD,2025-04-03,52.91,52.97,48.86,49.08,15208743,-3.83,-7.24,50.955
TTD,2025-04-02,55.5,57.68,55.48,56.3,10036325,0.8,1.44,56.24
TTD,2025-04-01,54.54,57.55,54.37,57.1,9738801,2.56,4.69,55.89
TTD,2025-03-31,54.43,55.03,52.9,54.72,8359300,0.29,0.53279,54.27
TTD,2025-03-28,57.0,57.76,55.56,55.85,6445600,-1.15,-2.02,56.5425
TTD,2025-03-27,58.66,59.09,57.22,57.26,6746800,-1.4,-2.39,58.0575
TTD,2025-03-26,62.49,62.5,58.5,58.8,10530528,-3.69,-5.9,60.5725
TTD,2025-03-25,60.63,62.05,60.36,62.0,12831700,1.38,2.26,61.26
TTD,2025-03-24,57.55,59.47,56.94,59.34,10048400,1.79,3.11,58.325
TTD,2025-03-21,54.74,56.8,54.15,56.31,9045625,1.57,2.87,55.5
TTD,2025-03-20,55.1,57.23,54.88,55.85,8171246,0.75,1.36,55.765
TTD,2025-03-19,54.06,56.17,53.95,55.32,9520800,1.27,2.33,54.875
TTD,2025-03-18,55.97,56.29,53.39,53.59,11594200,-2.38,-4.25,54.81
TTD,2025-03-17,54.32,56.68,54.05,56.5,17828234,2.18,4.01,55.3875
TTD,2025-03-14,55.01,55.4,53.42,53.94,22269800,-1.07,-1.95,54.4425
TTD,2025-03-13,57.58,58.72,53.74,53.88,20891400,-3.7,-6.43,55.98
TTD,2025-03-12,60.19,60.63,57.86,60.2,12516800,0.01,0.01661406,59.72
TTD,2025-03-11,60.63,62.58,58.57,58.84,16122228,-1.79,-2.95,60.155
TTD,2025-03-10,64.04,64.6,60.2,60.31,13483019,-3.73,-5.82,62.2875
TTD,2025-03-07,65.22,67.2,63.82,64.91,11486718,-0.31,-0.47531,65.2875
TTD,2025-03-06,65.02,66.85,64.78,64.98,9677700,-0.04,-0.06151953,65.4075
TTD,2025-03-05,66.87,67.32,65.01,66.54,11006717,-0.33,-0.49349,66.435
TTD,2025-03-04,65.97,68.85,64.56,67.6,12833245,1.63,2.47,66.745
TTD,2025-03-03,71.0,72.07,66.82,67.17,11719501,-3.83,-5.39,69.265
TTD,2025-02-28,70.94,73.08,69.37,70.32,10460204,-0.62,-0.87398,70.9275
TTD,2025-02-27,73.07,73.54,70.92,71.49,7538500,-1.58,-2.16,72.255
TTD,2025-02-26,75.06,75.48,72.26,72.43,9138442,-2.63,-3.5,73.8075
TTD,2025-02-25,73.89,75.44,72.34,74.98,11113200,1.09,1.48,74.1625
TTD,2025-02-24,72.29,75.19,70.44,74.2,13954906,1.91,2.64,73.03
TTD,2025-02-21,75.8,75.82,71.61,72.06,12870000,-3.74,-4.93,73.8225
TTD,2025-02-20,76.36,76.49,74.1,75.73,13591700,-0.635,-0.82504,75.67
TTD,2025-02-19,79.66,79.68,76.64,76.75,14396700,-2.91,-3.65,78.1825
TTD,2025-02-18,80.7,80.75,77.61,80.03,16258100,-0.67,-0.83024,79.7725
TTD,2025-02-14,82.55,83.61,80.1,80.16,19341800,-2.39,-2.9,81.605
TTD,2025-02-13,85.1,85.18,80.66,81.92,56006000,-3.17,-3.74,83.215
TTD,2025-02-12,118.53,122.46,118.0,122.23,11504231,3.7,3.12,120.305
TTD,2025-02-11,120.7,122.49,119.4,120.21,4968700,-0.49,-0.40597,120.7
TTD,2025-02-10,120.22,125.8,119.6,122.54,6186700,2.32,1.93,122.04
TTD,2025-02-07,115.1,117.63,115.05,117.29,4548212,2.19,1.9,116.2675
TTD,2025-02-06,114.6,116.54,113.42,114.65,3378500,0.05,0.04363002,114.8025
TTD,2025-02-05,113.29,114.46,113.06,114.34,4498179,1.05,0.92682,113.7875
TTD,2025-02-04,113.76,115.76,112.49,113.54,6181334,-0.22,-0.19339,113.8875
TTD,2025-02-03,115.79,119.79,115.0,117.94,3545100,2.15,1.86,117.13
TTD,2025-01-31,120.27,121.45,118.02,118.68,3101800,-1.59,-1.32,119.605
TTD,2025-01-30,124.02,124.52,118.58,118.94,3207000,-5.08,-4.1,121.515
TTD,2025-01-29,121.06,124.03,118.9,122.59,3597200,1.53,1.26,121.645
TTD,2025-01-28,118.95,121.92,117.78,120.56,4597400,1.61,1.35,119.8025
TTD,2025-01-27,116.99,120.28,116.52,119.1,3501432,2.11,1.8,118.2225
TTD,2025-01-24,119.14,120.66,118.8,119.96,3609122,0.82,0.68827,119.64
TTD,2025-01-23,120.21,120.21,117.3,119.14,5641300,-1.07,-0.89011,119.215
TTD,2025-01-22,125.0,126.2,120.5,120.69,4642607,-4.31,-3.45,123.0975
TTD,2025-01-21,126.07,126.17,123.2,124.5,4083827,-1.57,-1.25,124.985
TTD,2025-01-17,125.0,125.41,122.83,124.42,3094835,-0.58,-0.464,124.415
TTD,2025-01-16,120.01,122.56,119.77,120.84,2547200,0.83,0.69161,120.795
TTD,2025-01-15,120.72,120.8,118.01,119.68,3693624,-1.04,-0.8615,119.8025
TTD,2025-01-14,119.39,120.15,115.85,116.76,2558742,-2.63,-2.2,118.0375
TTD,2025-01-13,117.3,119.4,116.61,117.89,2708518,0.59,0.50298,117.8
TTD,2025-01-10,119.25,120.02,116.75,118.8,2926046,-0.45,-0.37736,118.705
TTD,2025-01-08,122.08,122.6,120.47,121.52,2833900,-0.56,-0.45872,121.6675
TTD,2025-01-07,126.29,126.3,120.44,121.41,4164324,-4.88,-3.86,123.61
TTD,2025-01-06,123.73,127.59,123.56,126.58,3901700,2.85,2.3,125.365
TTD,2025-01-03,118.97,121.92,118.96,121.84,2499351,2.87,2.41,120.4225
TTD,2025-01-02,119.07,119.61,116.67,117.73,2244627,-1.34,-1.13,118.27
TTD,2024-12-31,119.76,119.94,117.36,117.53,2423333,-2.23,-1.86,118.6475
TTD,2024-12-30,119.65,121.01,118.5,120.17,2499100,0.52,0.4346,119.8325
TTD,2024-12-27,122.68,123.02,119.58,121.39,2125900,-1.29,-1.05,121.6675
TTD,2024-12-26,123.0,124.15,122.52,123.46,1315300,0.46,0.37398,123.2825
TTD,2024-12-24,122.09,124.07,121.35,123.96,1388700,1.87,1.53,122.8675
TTD,2024-12-23,124.82,125.16,121.46,121.67,2803600,-3.15,-2.52,123.2775
