symbol,date,open,high,low,close,volume,change,changePercent,vwap
TTWO,2025-04-04,205.1,208.23,194.18,195.58,2970540,-9.52,-4.64164,199.33
TTWO,2025-04-03,205.46,211.5,204.94,208.93,2323694,3.47,1.69,207.7075
TTWO,2025-04-02,207.88,212.72,207.0,211.1,1602800,3.22,1.55,209.675
TTWO,2025-04-01,205.23,210.57,204.7,210.13,1654740,4.9,2.39,207.6575
TTWO,2025-03-31,207.4,207.89,200.66,207.25,2690200,-0.15,-0.07232401,205.8
TTWO,2025-03-28,214.28,215.52,209.32,210.47,1439438,-3.81,-1.78,212.3975
TTWO,2025-03-27,215.77,216.7,213.63,214.29,1128819,-1.48,-0.68592,215.0975
TTWO,2025-03-26,217.0,220.93,211.95,215.89,1951880,-1.11,-0.51152,216.4425
TTWO,2025-03-25,213.66,218.56,211.57,217.95,1361000,4.29,2.01,215.435
TTWO,2025-03-24,217.15,217.18,211.89,213.51,1453231,-3.64,-1.68,214.9325
TTWO,2025-03-21,207.51,215.0,204.21,213.47,3631979,5.96,2.87,210.0475
TTWO,2025-03-20,206.93,211.46,206.9,209.63,1329267,2.7,1.3,208.73
TTWO,2025-03-19,204.0,210.71,203.48,208.86,1381650,4.86,2.38,206.7625
TTWO,2025-03-18,205.96,206.36,203.7,204.32,1067585,-1.64,-0.79627,205.085
TTWO,2025-03-17,203.82,207.71,203.06,206.5,1904905,2.68,1.31,205.2725
TTWO,2025-03-14,205.67,206.32,201.84,204.57,1365539,-1.1,-0.53484,204.6
TTWO,2025-03-13,204.48,206.2,201.93,203.63,1263241,-0.85,-0.41569,204.06
TTWO,2025-03-12,204.48,206.72,203.49,205.33,1415037,0.85,0.41569,205.005
TTWO,2025-03-11,202.04,206.02,201.77,203.8,1543531,1.76,0.87111,203.4075
TTWO,2025-03-10,200.98,202.47,197.0,201.93,1883600,0.95,0.47268,200.595
TTWO,2025-03-07,206.76,207.45,198.71,204.33,1889839,-2.43,-1.18,204.3125
TTWO,2025-03-06,214.2,216.46,207.33,207.87,2273454,-6.33,-2.96,211.465
TTWO,2025-03-05,208.1,215.27,208.1,214.81,1750157,6.71,3.22,211.57
TTWO,2025-03-04,207.98,209.09,202.01,208.55,2106700,0.57,0.27406,206.9075
TTWO,2025-03-03,212.89,214.5,207.78,208.05,1781700,-4.84,-2.27,210.805
TTWO,2025-02-28,208.72,212.1,206.71,211.98,1858300,3.26,1.56,209.8775
TTWO,2025-02-27,209.85,211.37,207.63,208.21,1122970,-1.64,-0.78151,209.265
TTWO,2025-02-26,208.81,210.28,207.46,209.11,1281392,0.3,0.14367,208.915
TTWO,2025-02-25,210.48,210.68,206.07,207.91,1922241,-2.57,-1.22,208.785
TTWO,2025-02-24,213.21,213.7,207.28,212.02,1206749,-1.19,-0.55814,211.5525
