symbol,date,open,high,low,close,volume,change,changePercent,vwap
VRSK,2025-04-04,299.2,304.16,286.1,286.1,1490362,-13.1,-4.37834,292.12
VRSK,2025-04-03,298.45,306.68,298.45,305.09,1406827,6.64,2.22,302.1675
VRSK,2025-04-02,298.95,300.07,294.94,299.71,749130,0.76,0.25422,298.4175
VRSK,2025-04-01,296.82,298.98,294.99,298.61,621777,1.79,0.60306,297.35
VRSK,2025-03-31,296.14,299.96,295.24,297.62,1250152,1.48,0.49976,297.24
VRSK,2025-03-28,296.24,296.75,293.12,294.58,729000,-1.66,-0.56036,295.1725
VRSK,2025-03-27,293.63,299.73,291.23,296.89,852400,3.26,1.11,295.37
VRSK,2025-03-26,288.45,293.0,288.11,292.03,773119,3.58,1.24,290.3975
VRSK,2025-03-25,284.8,287.88,283.99,287.76,992849,2.96,1.04,286.1075
VRSK,2025-03-24,287.02,289.43,284.45,285.4,810221,-1.62,-0.56442,286.575
VRSK,2025-03-21,285.23,287.28,283.24,285.16,1387929,-0.07,-0.0245416,285.2275
VRSK,2025-03-20,288.43,289.62,285.86,287.68,773071,-0.75,-0.26003,287.8975
VRSK,2025-03-19,288.4,291.44,288.4,289.74,784013,1.34,0.46463,289.495
VRSK,2025-03-18,289.34,290.07,286.5,288.93,789452,-0.41,-0.1417,288.71
VRSK,2025-03-17,287.83,291.58,287.83,291.01,930843,3.18,1.1,289.5625
VRSK,2025-03-14,289.05,290.03,286.76,288.58,740813,-0.47,-0.1626,288.605
VRSK,2025-03-13,287.06,289.76,285.26,289.5,715257,2.44,0.85,287.895
VRSK,2025-03-12,289.19,290.02,286.18,288.03,740424,-1.16,-0.40112,288.355
VRSK,2025-03-11,298.93,299.64,290.3,290.53,1320100,-8.4,-2.81,294.85
VRSK,2025-03-10,301.12,305.57,297.42,298.0,1645500,-3.12,-1.04,300.5275
VRSK,2025-03-07,295.36,301.16,294.15,300.48,754100,5.12,1.73,297.7875
VRSK,2025-03-06,295.21,297.69,293.99,295.36,726800,0.15,0.05081129,295.5625
VRSK,2025-03-05,296.2,299.65,294.73,296.89,699600,0.69,0.23295,296.8675
VRSK,2025-03-04,301.88,306.1,299.29,299.54,955233,-2.34,-0.77514,301.7025
VRSK,2025-03-03,295.63,302.25,293.13,301.33,990300,5.7,1.93,298.085
VRSK,2025-02-28,291.78,297.57,291.28,296.91,1029600,5.13,1.76,294.385
VRSK,2025-02-27,290.19,292.11,287.73,290.11,918137,-0.08,-0.02756815,290.035
VRSK,2025-02-26,263.97,295.78,262.0,288.03,1574634,24.06,9.11,277.445
VRSK,2025-02-25,297.01,300.5,295.58,299.72,1137100,2.71,0.91243,298.2025
VRSK,2025-02-24,295.14,298.71,295.14,297.01,720001,1.87,0.6336,296.5
VRSK,2025-02-21,292.7,296.39,291.83,295.11,1165507,2.41,0.82337,294.0075
VRSK,2025-02-20,294.2,294.26,291.06,292.7,878500,-1.5,-0.50986,293.055
VRSK,2025-02-19,293.51,296.92,292.37,295.86,692700,2.35,0.80065,294.665
VRSK,2025-02-18,292.58,295.58,290.9,293.3,538400,0.72,0.24609,293.09
VRSK,2025-02-14,295.5,296.94,293.33,293.48,535500,-2.02,-0.68359,294.8125
VRSK,2025-02-13,293.11,296.58,292.35,295.5,461900,2.39,0.81539,294.385
VRSK,2025-02-12,291.33,293.95,289.07,293.06,470400,1.73,0.59383,291.8525
VRSK,2025-02-11,292.18,294.4,291.65,294.3,342700,2.12,0.72558,293.1325
VRSK,2025-02-10,294.42,295.23,290.11,294.0,517000,-0.42,-0.14265,293.44
VRSK,2025-02-07,294.95,296.23,293.57,293.73,632200,-1.22,-0.41363,294.62
VRSK,2025-02-06,291.98,294.99,290.17,294.95,581571,2.97,1.02,293.0225
VRSK,2025-02-05,290.69,292.57,288.52,291.64,495269,0.95,0.32681,290.855
VRSK,2025-02-04,290.94,293.53,288.68,289.2,704056,-1.74,-0.59806,290.5875
VRSK,2025-02-03,287.49,292.67,284.19,290.94,763789,3.45,1.2,288.8225
VRSK,2025-01-31,287.64,289.86,286.5,287.44,651400,-0.2,-0.06953136,287.86
VRSK,2025-01-30,284.08,288.4,284.08,288.08,652343,4.0,1.41,286.16
VRSK,2025-01-29,283.16,284.67,281.33,282.59,600663,-0.57,-0.2013,282.9375
VRSK,2025-01-28,284.57,285.73,276.61,281.85,633300,-2.72,-0.95583,282.19
