symbol,date,open,high,low,close,volume,change,changePercent,vwap
VRTX,2025-04-04,484.35,499.07,475.485,476.12,2182403,-8.23,-1.69918,483.56
VRTX,2025-04-03,480.01,494.49,480.01,484.01,2063022,4.0,0.83332,484.63
VRTX,2025-04-02,481.64,487.93,480.42,483.49,988400,1.85,0.3841,483.37
VRTX,2025-04-01,486.27,491.93,480.95,484.74,1249536,-1.53,-0.31464,485.9725
VRTX,2025-03-31,487.13,487.13,471.5,484.82,2231900,-2.31,-0.47421,482.645
VRTX,2025-03-28,504.79,504.79,491.37,492.69,1281012,-12.1,-2.4,498.41
VRTX,2025-03-27,498.59,506.54,498.59,502.55,1233885,3.96,0.79424,501.5675
VRTX,2025-03-26,504.87,508.64,497.78,500.28,1328812,-4.59,-0.90914,502.8925
VRTX,2025-03-25,511.78,512.71,503.99,509.04,1006610,-2.74,-0.53539,509.38
VRTX,2025-03-24,505.0,513.98,501.0,511.74,1237637,6.74,1.33,507.93
VRTX,2025-03-21,505.42,510.08,501.07,503.2,2280547,-2.22,-0.43924,504.9425
VRTX,2025-03-20,509.99,515.67,505.49,510.18,1064713,0.19,0.03725563,510.3325
VRTX,2025-03-19,512.01,514.82,505.0,512.52,1124158,0.51,0.09960743,511.0875
VRTX,2025-03-18,513.08,516.5,508.52,512.23,1335442,-0.845,-0.16567,512.5825
VRTX,2025-03-17,505.2,517.2,504.0,513.76,1108941,8.56,1.69,510.04
VRTX,2025-03-14,507.0,519.68,502.26,504.77,1386928,-2.23,-0.43984,508.4275
VRTX,2025-03-13,493.79,512.75,488.0,502.92,1699817,9.13,1.85,499.365
VRTX,2025-03-12,484.62,496.64,483.09,495.42,1368972,10.8,2.23,489.9425
VRTX,2025-03-11,496.86,497.5,480.28,488.34,1389925,-8.52,-1.71,490.745
VRTX,2025-03-10,483.39,503.89,480.38,500.01,1796715,16.62,3.44,491.9175
VRTX,2025-03-07,485.71,492.34,482.82,488.29,1198359,2.58,0.53118,487.29
