symbol,date,open,high,low,close,volume,change,changePercent,vwap
WBD,2025-04-04,8.86,8.86,8.03,8.085,48268209,-0.775,-8.74718,8.33
WBD,2025-04-03,10.03,10.14,9.12,9.16,52749443,-0.87,-8.67,9.6125
WBD,2025-04-02,10.05,10.61,10.02,10.56,37025723,0.51,5.07,10.31
WBD,2025-04-01,10.79,11.15,10.14,10.21,42217067,-0.58,-5.38,10.5725
WBD,2025-03-31,10.31,10.81,10.04,10.73,75700100,0.42,4.07,10.4725
WBD,2025-03-28,11.03,11.08,10.29,10.37,52599014,-0.66,-5.98,10.6925
WBD,2025-03-27,11.01,11.19,10.91,11.01,54215944,0.0,0.0,11.03
WBD,2025-03-26,10.95,11.2,10.9,11.03,32257625,0.08,0.73059,11.02
WBD,2025-03-25,11.0,11.04,10.84,10.98,37144400,-0.02,-0.18182,10.965
WBD,2025-03-24,10.94,11.04,10.53,10.97,43662412,0.03,0.27422,10.87
WBD,2025-03-21,10.56,10.79,10.45,10.74,55499140,0.18,1.7,10.635
WBD,2025-03-20,10.8,10.88,10.61,10.65,26374300,-0.15,-1.39,10.735
WBD,2025-03-19,10.43,11.01,10.4,10.92,36585934,0.49,4.7,10.69
WBD,2025-03-18,10.48,10.48,10.28,10.39,33426921,-0.09,-0.85878,10.4075
WBD,2025-03-17,10.2,10.55,10.13,10.48,23966010,0.28,2.75,10.34
WBD,2025-03-14,10.05,10.38,10.01,10.19,27637200,0.14,1.39,10.1575
WBD,2025-03-13,10.35,10.46,9.89,9.89,43328200,-0.455,-4.44,10.1475
WBD,2025-03-12,10.38,10.6,10.13,10.42,36779623,0.04,0.38536,10.3825
WBD,2025-03-11,10.61,10.7,10.19,10.37,50764925,-0.24,-2.26,10.4675
WBD,2025-03-10,11.0,11.09,10.48,10.59,39093500,-0.41,-3.73,10.79
WBD,2025-03-07,10.74,11.25,10.6,11.07,49421407,0.33,3.07,10.915
WBD,2025-03-06,11.28,11.32,10.7,10.7,46739319,-0.58,-5.14,11.0
WBD,2025-03-05,11.33,11.52,10.99,11.43,40448128,0.1,0.88261,11.3175
WBD,2025-03-04,11.18,11.45,10.87,11.32,45824800,0.14,1.25,11.205
WBD,2025-03-03,11.41,11.67,10.93,11.02,50490500,-0.39,-3.42,11.2575
WBD,2025-02-28,11.07,11.64,10.77,11.46,74121800,0.39,3.52,11.235
WBD,2025-02-27,11.28,11.9,10.99,11.0,98432100,-0.28,-2.48,11.2925
WBD,2025-02-26,10.65,10.9,10.43,10.5,56183913,-0.15,-1.41,10.62
WBD,2025-02-25,11.16,11.18,10.68,10.69,43318711,-0.47,-4.21,10.9275
WBD,2025-02-24,10.9,11.22,10.67,11.09,48784300,0.19,1.74,10.97
WBD,2025-02-21,11.17,11.21,10.7,10.78,35887600,-0.385,-3.49,10.965
WBD,2025-02-20,10.96,11.11,10.8,11.04,29539100,0.08,0.72993,10.9775
WBD,2025-02-19,10.65,10.98,10.52,10.89,36269900,0.245,2.25,10.76
WBD,2025-02-18,10.34,10.73,10.18,10.62,32611500,0.28,2.71,10.4675
WBD,2025-02-14,10.32,10.4,10.13,10.34,22466000,0.02,0.1938,10.2975
WBD,2025-02-13,9.87,10.22,9.82,10.21,28205507,0.34,3.44,10.03
WBD,2025-02-12,9.74,9.96,9.71,9.82,17511927,0.08,0.82136,9.8075
WBD,2025-02-11,9.83,9.96,9.78,9.85,27458100,0.02,0.20346,9.855
WBD,2025-02-10,10.24,10.33,9.96,9.98,25189000,-0.255,-2.54,10.1275
WBD,2025-02-07,10.29,10.42,10.13,10.16,22038711,-0.13,-1.26,10.25
WBD,2025-02-06,10.31,10.35,9.96,10.2,24431502,-0.11,-1.07,10.205
WBD,2025-02-05,10.07,10.2,9.94,10.19,22030179,0.12,1.19,10.1
WBD,2025-02-04,10.14,10.28,9.97,10.06,22142900,-0.08,-0.78895,10.1125
WBD,2025-02-03,10.24,10.26,9.93,10.16,27127409,-0.08,-0.78125,10.1475
WBD,2025-01-31,10.51,10.84,10.36,10.44,33329647,-0.07,-0.66603,10.5375
WBD,2025-01-30,10.63,10.69,10.4,10.62,24757428,-0.009,-0.09407338,10.585
WBD,2025-01-29,10.36,10.6,10.32,10.43,22595200,0.07,0.67568,10.4275
WBD,2025-01-28,10.47,10.47,10.15,10.25,23483400,-0.22,-2.1,10.335
WBD,2025-01-27,10.1,10.56,10.09,10.49,27477600,0.39,3.86,10.31
WBD,2025-01-24,10.34,10.4,10.16,10.25,20389525,-0.09,-0.87041,10.2875
WBD,2025-01-23,10.05,10.29,10.04,10.28,27570600,0.23,2.29,10.165
WBD,2025-01-22,9.77,10.07,9.73,10.05,32349900,0.28,2.87,9.905
WBD,2025-01-21,9.75,9.93,9.72,9.77,25865700,0.02,0.20513,9.7925
WBD,2025-01-17,9.63,9.69,9.5,9.52,19899600,-0.11,-1.14,9.585
WBD,2025-01-16,9.7,9.73,9.45,9.47,20727436,-0.23,-2.37,9.5875
WBD,2025-01-15,10.02,10.05,9.73,9.79,25539700,-0.23,-2.3,9.8975
WBD,2025-01-14,9.95,10.03,9.72,9.73,29281300,-0.22,-2.21,9.8575
WBD,2025-01-13,9.65,9.92,9.59,9.84,27065034,0.185,1.97,9.75
WBD,2025-01-10,9.85,9.86,9.47,9.7,33329600,-0.15,-1.52,9.72
