symbol,date,open,high,low,close,volume,change,changePercent,vwap
WDAY,2025-04-04,225.65,227.815,216.73,217.705,3962465,-7.94,-3.52094,220.75
WDAY,2025-04-03,227.96,232.63,226.3,228.33,5081135,0.37,0.16231,228.805
WDAY,2025-04-02,230.5,236.99,230.5,235.39,1926236,4.89,2.12,233.345
WDAY,2025-04-01,232.95,235.08,230.01,234.53,2567468,1.58,0.67826,233.1425
WDAY,2025-03-31,236.67,237.41,229.29,233.53,3312763,-3.14,-1.33,234.225
WDAY,2025-03-28,244.1,244.81,236.03,238.49,1888641,-5.61,-2.3,240.8575
WDAY,2025-03-27,250.25,250.25,243.86,244.55,1096538,-5.7,-2.28,247.2275
WDAY,2025-03-26,253.1,254.14,250.13,250.79,1000793,-2.31,-0.91268,252.04
WDAY,2025-03-25,250.0,253.42,250.0,252.83,1176600,2.83,1.13,251.5625
WDAY,2025-03-24,252.89,252.89,248.77,249.91,2022269,-2.98,-1.18,251.115
WDAY,2025-03-21,246.99,250.19,245.23,249.49,2831862,2.5,1.01,247.975
WDAY,2025-03-20,251.67,254.5,242.47,250.47,1732323,-1.2,-0.47681,249.7775
WDAY,2025-03-19,253.66,256.17,251.01,252.5,1804053,-1.16,-0.45731,253.335
WDAY,2025-03-18,249.11,252.02,247.7,251.91,1984371,2.8,1.12,250.185
WDAY,2025-03-17,243.41,252.32,242.45,250.62,1789969,7.21,2.96,247.2
WDAY,2025-03-14,239.57,245.15,238.55,244.17,1365935,4.6,1.92,241.86
WDAY,2025-03-13,242.16,243.5,235.56,237.22,2263824,-4.94,-2.04,239.61
WDAY,2025-03-12,246.06,247.04,238.72,241.67,2332838,-4.39,-1.78,243.3725
WDAY,2025-03-11,243.78,246.21,241.2,242.93,2838646,-0.85,-0.34868,243.53
WDAY,2025-03-10,249.92,251.45,241.63,243.0,2294016,-6.92,-2.77,246.5
WDAY,2025-03-07,251.35,255.8,245.45,252.38,2035992,1.03,0.40979,251.245
WDAY,2025-03-06,255.42,260.98,252.92,253.76,2148559,-1.66,-0.64991,255.77
WDAY,2025-03-05,253.02,260.7,252.46,259.61,1860141,6.59,2.6,256.4475
WDAY,2025-03-04,254.54,256.76,248.26,253.63,1839328,-0.91,-0.35751,253.2975
WDAY,2025-03-03,264.26,264.72,253.46,254.57,1895872,-9.69,-3.67,259.2525
WDAY,2025-02-28,260.86,266.08,258.41,263.34,2795692,2.48,0.9507,262.1725
WDAY,2025-02-27,270.0,271.43,260.37,260.57,3078480,-9.43,-3.49,265.5925
WDAY,2025-02-26,279.99,281.0,269.11,271.09,6231500,-8.9,-3.18,275.2975
WDAY,2025-02-25,259.3,259.55,252.65,255.22,4828400,-4.08,-1.57,256.68
WDAY,2025-02-24,255.18,263.55,251.03,261.81,3836148,6.63,2.6,257.8925
WDAY,2025-02-21,261.17,261.17,256.0,256.39,2415566,-4.78,-1.83,258.6825
WDAY,2025-02-20,260.29,262.77,257.9,261.63,1747457,1.34,0.51481,260.6475
WDAY,2025-02-19,258.69,261.72,255.49,261.1,2857003,2.41,0.93162,259.25
WDAY,2025-02-18,257.05,265.76,255.24,265.72,2356000,8.67,3.37,260.9425
WDAY,2025-02-14,259.95,261.39,257.56,258.05,1382447,-1.9,-0.73091,259.2375
WDAY,2025-02-13,259.21,260.51,256.36,260.13,1923787,0.92,0.35492,259.0525
WDAY,2025-02-12,258.28,260.0,254.28,257.92,1791449,-0.36,-0.13938,257.62
WDAY,2025-02-11,269.07,269.39,261.0,263.0,2602806,-6.07,-2.26,265.615
WDAY,2025-02-10,274.67,277.23,269.59,269.88,1675414,-4.79,-1.74,272.8425
WDAY,2025-02-07,280.04,280.99,271.65,271.89,1613172,-8.15,-2.91,276.1425
WDAY,2025-02-06,276.99,283.68,274.69,277.82,2713245,0.83,0.29965,278.295
WDAY,2025-02-05,272.44,276.37,262.14,276.17,5246669,3.73,1.37,271.78
WDAY,2025-02-04,255.97,260.97,255.42,259.73,1465666,3.76,1.47,258.0225
WDAY,2025-02-03,259.73,260.94,254.74,259.77,1594600,0.04,0.01540061,258.795
WDAY,2025-01-31,263.82,267.02,260.89,262.06,1668001,-1.76,-0.66712,263.4475
WDAY,2025-01-30,262.48,264.94,257.01,260.07,1364802,-2.41,-0.91817,261.125
WDAY,2025-01-29,270.91,271.97,264.21,265.4,1166534,-5.51,-2.03,268.1225
WDAY,2025-01-28,265.3,274.5,262.49,270.43,2533043,5.13,1.93,268.18
WDAY,2025-01-27,255.22,268.94,255.22,264.2,2597700,8.98,3.52,260.895
WDAY,2025-01-24,255.82,260.21,255.56,258.28,1789184,2.46,0.96161,257.4675
WDAY,2025-01-23,252.73,255.39,249.23,255.3,2179881,2.57,1.02,253.1625
