symbol,date,open,high,low,close,volume,change,changePercent,vwap
XEL,2025-04-04,73.0,73.0,67.775,68.21,3780768,-4.79,-6.56164,69.66
XEL,2025-04-03,71.99,72.64,71.15,72.14,3571840,0.15,0.20836,71.98
XEL,2025-04-02,70.87,71.3,70.06,70.9,2054721,0.03,0.04233103,70.7825
XEL,2025-04-01,70.61,70.82,69.97,70.72,2233424,0.11,0.15579,70.53
XEL,2025-03-31,70.39,71.36,69.9,70.79,3772295,0.4,0.56826,70.61
XEL,2025-03-28,69.88,70.49,69.64,69.72,3533624,-0.155,-0.22896,69.9325
XEL,2025-03-27,69.11,69.8,68.93,69.32,3870701,0.21,0.30386,69.29
XEL,2025-03-26,68.01,69.44,67.99,68.92,3540567,0.91,1.34,68.59
XEL,2025-03-25,68.6,68.79,67.5,67.93,3110217,-0.67,-0.97668,68.205
XEL,2025-03-24,69.52,69.65,68.71,68.86,3157004,-0.66,-0.94937,69.185
XEL,2025-03-21,69.81,70.36,68.82,69.11,6689303,-0.7,-1.0,69.525
XEL,2025-03-20,70.24,70.58,69.8,70.09,3039122,-0.15,-0.21355,70.1775
XEL,2025-03-19,70.17,70.5,69.84,70.24,3112000,0.07,0.09975773,70.1875
XEL,2025-03-18,69.74,70.33,69.4,70.28,3159800,0.54,0.7743,69.9375
XEL,2025-03-17,69.7,70.7,69.54,69.96,3751100,0.26,0.37303,69.975
XEL,2025-03-14,68.1,69.91,67.88,69.75,4170824,1.65,2.42,68.91
XEL,2025-03-13,69.27,69.76,68.15,68.67,2409400,-0.605,-0.86618,68.9625
XEL,2025-03-12,68.32,69.7,68.17,68.85,3356637,0.53,0.77576,68.76
XEL,2025-03-11,69.42,69.64,68.11,68.73,3381700,-0.69,-0.99395,68.975
XEL,2025-03-10,68.05,69.89,68.05,69.35,4830500,1.3,1.91,68.835
XEL,2025-03-07,67.7,68.61,67.52,68.0,3849600,0.3,0.44313,67.9575
XEL,2025-03-06,68.36,68.58,67.25,67.66,5262300,-0.7,-1.02,67.9625
XEL,2025-03-05,69.45,70.22,68.6,68.73,6975000,-0.72,-1.04,69.25
XEL,2025-03-04,72.08,72.7,69.98,70.03,4212130,-2.05,-2.84,71.1975
XEL,2025-03-03,71.89,72.64,71.36,71.9,5015622,0.01,0.01391014,71.9475
XEL,2025-02-28,71.79,72.39,71.1,72.1,7085500,0.308,0.43182,71.845
XEL,2025-02-27,69.75,70.97,69.57,70.76,4553500,1.01,1.45,70.2625
XEL,2025-02-26,70.07,70.48,69.49,69.97,3907881,-0.1,-0.14271,70.0025
XEL,2025-02-25,71.0,71.05,70.14,70.45,3713403,-0.55,-0.77465,70.66
XEL,2025-02-24,70.55,71.36,69.91,70.78,3010300,0.23,0.32601,70.65
XEL,2025-02-21,69.35,70.24,69.19,69.94,2379446,0.59,0.85076,69.68
XEL,2025-02-20,68.94,69.44,68.2,69.32,1878416,0.38,0.5512,68.975
XEL,2025-02-19,68.65,69.39,68.5,69.07,2425334,0.42,0.6118,68.9025
XEL,2025-02-18,68.73,69.14,68.27,68.54,3177200,-0.19,-0.27644,68.67
XEL,2025-02-14,68.6,69.59,68.42,68.61,4167843,0.01,0.01457726,68.805
XEL,2025-02-13,67.44,68.58,67.26,68.4,2433124,0.96,1.42,67.92
XEL,2025-02-12,66.46,67.49,66.18,67.4,2706200,0.94,1.41,66.8825
XEL,2025-02-11,66.6,67.23,65.99,67.19,2284376,0.59,0.88589,66.7525
XEL,2025-02-10,66.91,67.03,65.87,66.88,2638335,-0.03,-0.04483635,66.6725
XEL,2025-02-07,67.41,67.89,66.43,66.6,3797802,-0.81,-1.2,67.0825
XEL,2025-02-06,67.01,67.73,66.0,67.12,5611554,0.11,0.16415,66.965
XEL,2025-02-05,68.0,68.49,67.38,67.95,2941056,-0.05,-0.07352941,67.955
XEL,2025-02-04,67.22,67.57,66.58,67.32,2716439,0.1,0.14877,67.1725
XEL,2025-02-03,67.09,67.98,66.45,67.75,2916900,0.66,0.98375,67.3175
XEL,2025-01-31,66.75,67.24,66.61,67.2,6442305,0.45,0.67416,66.95
XEL,2025-01-30,66.73,67.04,66.23,66.86,2704356,0.13,0.19481,66.715
XEL,2025-01-29,66.3,66.82,65.97,66.07,2447363,-0.23,-0.34691,66.29
XEL,2025-01-28,67.86,67.86,66.18,66.43,3043657,-1.43,-2.11,67.0825
XEL,2025-01-27,66.63,68.05,66.32,67.99,4142654,1.36,2.04,67.2475
XEL,2025-01-24,66.15,66.99,65.75,66.61,3110246,0.46,0.69539,66.375
XEL,2025-01-23,67.28,67.28,65.99,66.06,3928593,-1.22,-1.81,66.6525
XEL,2025-01-22,67.57,67.57,66.83,66.98,3746100,-0.59,-0.87317,67.2375
XEL,2025-01-21,66.94,67.98,66.63,67.68,4147485,0.74,1.11,67.3075
XEL,2025-01-17,66.53,66.89,65.93,66.72,3235025,0.19,0.28559,66.5175
XEL,2025-01-16,64.76,66.21,64.61,66.2,3024125,1.44,2.22,65.445
XEL,2025-01-15,65.01,65.54,64.75,64.94,2655622,-0.07,-0.10768,65.06
XEL,2025-01-14,63.43,64.29,63.21,64.08,5952823,0.65,1.02,63.7525
XEL,2025-01-13,63.82,64.14,63.13,63.62,3114600,-0.2,-0.31338,63.6775
XEL,2025-01-10,66.04,66.04,62.58,63.37,5441065,-2.67,-4.04,64.5075
XEL,2025-01-08,65.56,66.44,65.05,66.39,3714749,0.83,1.27,65.86
XEL,2025-01-07,65.14,66.52,64.97,65.64,3017834,0.5,0.76758,65.5675
XEL,2025-01-06,65.75,66.42,64.99,65.14,3657563,-0.605,-0.92776,65.575
XEL,2025-01-03,67.13,67.31,66.56,66.69,3157381,-0.44,-0.65544,66.9225
XEL,2025-01-02,67.84,68.0,66.63,66.86,2817200,-0.98,-1.44,67.3325
XEL,2024-12-31,67.45,68.06,67.22,67.52,2143881,0.07,0.10378,67.5625
XEL,2024-12-30,68.14,68.14,67.16,67.59,2642910,-0.55,-0.80716,67.7575
XEL,2024-12-27,67.72,68.65,67.61,68.14,2015000,0.42,0.6202,68.03
XEL,2024-12-26,67.87,68.44,67.73,68.18,1394942,0.31,0.45676,68.055
XEL,2024-12-24,67.79,68.28,67.6,68.21,943915,0.42,0.61956,67.97
XEL,2024-12-23,67.12,67.83,66.83,67.72,2535653,0.6,0.89392,67.375
XEL,2024-12-20,66.53,67.82,66.47,67.4,13060777,0.87,1.31,67.055
XEL,2024-12-19,66.1,67.59,66.07,66.65,4608000,0.55,0.83207,66.6025
XEL,2024-12-18,67.64,68.04,66.34,66.4,5884925,-1.24,-1.83,67.105
XEL,2024-12-17,67.5,68.75,67.02,68.08,6459715,0.58,0.85926,67.8375
XEL,2024-12-16,68.12,68.45,67.63,67.66,4244700,-0.46,-0.67528,67.965
XEL,2024-12-13,68.21,68.58,67.9,68.12,2254000,-0.09,-0.13195,68.2025
XEL,2024-12-12,69.17,69.24,68.18,68.49,2575300,-0.68,-0.98309,68.77
XEL,2024-12-11,69.24,69.45,68.3,68.36,3013003,-0.88,-1.27,68.8375
XEL,2024-12-10,69.11,69.64,68.22,69.15,2587500,0.04,0.05787874,69.03
XEL,2024-12-09,69.73,70.08,68.93,69.11,2760700,-0.62,-0.88914,69.4625
XEL,2024-12-06,70.65,70.75,69.53,69.74,3432800,-0.91,-1.29,70.1675
XEL,2024-12-05,70.82,71.26,70.61,70.86,2518525,0.04,0.05648122,70.8875
XEL,2024-12-04,71.19,71.39,70.36,70.72,3233348,-0.47,-0.66021,70.915
XEL,2024-12-03,71.5,71.76,70.98,71.0,2672529,-0.5,-0.6993,71.31
XEL,2024-12-02,72.49,72.59,71.13,71.2,2718032,-1.29,-1.78,71.8525
XEL,2024-11-29,72.87,73.08,72.47,72.56,1383042,-0.31,-0.42542,72.745
XEL,2024-11-27,72.32,73.38,72.22,72.92,2528400,0.6,0.82965,72.71
XEL,2024-11-26,72.05,72.09,71.25,71.87,3155900,-0.18,-0.24983,71.815
XEL,2024-11-25,71.75,71.95,71.19,71.6,3122602,-0.15,-0.20906,71.6225
XEL,2024-11-22,71.64,71.79,71.23,71.35,2065350,-0.29,-0.4048,71.5025
XEL,2024-11-21,70.47,71.43,69.82,71.38,2645011,0.9059,1.29,70.775
XEL,2024-11-20,69.39,70.24,69.35,70.05,2439601,0.66,0.95115,69.7575
XEL,2024-11-19,69.88,70.0,69.11,69.57,2268127,-0.31,-0.44362,69.64
XEL,2024-11-18,69.52,70.42,69.42,69.94,2598128,0.42,0.60414,69.825
XEL,2024-11-15,68.89,69.9,68.68,69.46,4018542,0.57,0.82741,69.2325
XEL,2024-11-14,68.88,69.53,68.48,68.91,3347527,0.03,0.04355401,68.95
XEL,2024-11-13,68.67,68.94,68.13,68.65,4068300,-0.02,-0.0291248,68.5975
XEL,2024-11-12,68.63,69.35,68.35,68.61,5337500,-0.02,-0.02914177,68.735
XEL,2024-11-11,67.23,68.82,67.14,68.65,5556000,1.42,2.11,67.96
XEL,2024-11-08,66.27,67.44,66.21,67.37,3859144,1.1,1.66,66.8225
XEL,2024-11-07,66.38,66.88,66.07,66.2,4185826,-0.18,-0.27117,66.3825
XEL,2024-11-06,65.85,67.1,65.32,66.49,5057919,0.64,0.97191,66.19
XEL,2024-11-05,65.94,66.44,65.71,66.33,4713540,0.39,0.59145,66.105
XEL,2024-11-04,65.97,66.18,65.27,65.82,12450800,-0.15,-0.22738,65.81
