symbol,date,open,high,low,close,volume,change,changePercent,vwap
ZS,2025-04-04,184.57,186.2,172.86,174.61,4737418,-9.96,-5.39633,177.89
ZS,2025-04-03,202.82,202.82,188.66,192.21,3891060,-10.61,-5.23,196.6275
ZS,2025-04-02,198.04,208.16,198.0,207.04,1717400,9.0,4.54,202.81
ZS,2025-04-01,200.0,201.67,195.72,201.07,1911000,1.07,0.535,199.615
ZS,2025-03-31,202.32,203.5,192.21,198.42,3491026,-3.9,-1.93,199.1125
ZS,2025-03-28,208.52,209.88,203.5,207.14,2428420,-1.38,-0.66181,207.26
ZS,2025-03-27,210.35,212.0,205.12,209.45,1625163,-0.9,-0.42786,209.23
ZS,2025-03-26,215.25,216.0,209.63,211.55,1676200,-3.7,-1.72,213.1075
ZS,2025-03-25,211.68,216.39,211.2,215.73,2311600,4.05,1.91,213.75
ZS,2025-03-24,208.0,210.18,206.6,209.87,1574076,1.87,0.89904,208.6625
ZS,2025-03-21,200.53,206.5,197.23,205.2,1826660,4.67,2.33,202.365
ZS,2025-03-20,202.61,205.39,200.9,203.55,952508,0.94,0.46395,203.1125
ZS,2025-03-19,199.57,206.67,199.57,203.95,1925120,4.38,2.19,202.44
ZS,2025-03-18,199.7,202.93,196.75,201.59,1611400,1.89,0.94642,200.2425
ZS,2025-03-17,197.71,204.46,196.66,202.65,1850835,4.94,2.5,200.37
ZS,2025-03-14,192.77,198.0,192.0,197.81,1581440,5.04,2.61,195.145
ZS,2025-03-13,196.18,196.5,186.67,189.58,2491902,-6.6,-3.36,192.2325
ZS,2025-03-12,202.94,203.97,195.16,197.79,2217000,-5.15,-2.54,199.965
ZS,2025-03-11,196.41,204.42,195.2,199.36,2431742,2.96,1.5,198.8475
ZS,2025-03-10,203.47,204.6,192.74,194.69,3057300,-8.78,-4.32,198.875
ZS,2025-03-07,204.93,209.14,198.0,208.76,4346500,3.83,1.87,205.2075
ZS,2025-03-06,200.71,211.22,199.12,202.16,6523542,1.45,0.72244,203.3025
ZS,2025-03-05,191.42,197.31,189.56,196.45,3504700,5.03,2.63,193.685
ZS,2025-03-04,187.15,196.75,183.84,193.82,2558600,6.67,3.56,190.39
ZS,2025-03-03,198.4,199.7,187.4,188.79,1813192,-9.61,-4.84,193.5725
ZS,2025-02-28,191.73,196.51,191.0,196.23,2542845,4.5,2.35,193.8675
ZS,2025-02-27,197.8,199.99,191.67,192.03,1188243,-5.77,-2.92,195.3725
ZS,2025-02-26,194.8,198.2,194.34,195.82,1020539,1.02,0.52361,195.79
ZS,2025-02-25,194.54,195.61,189.02,193.04,1491421,-1.5,-0.77105,193.0525
ZS,2025-02-24,200.09,200.98,190.76,197.05,1312006,-3.04,-1.52,197.22
ZS,2025-02-21,207.3,207.3,196.95,198.56,1989600,-8.74,-4.22,202.5275
ZS,2025-02-20,212.7,212.97,201.34,206.97,2558514,-5.73,-2.69,208.495
ZS,2025-02-19,214.77,215.89,210.32,214.67,1614227,-0.1,-0.04656144,213.9125
ZS,2025-02-18,213.26,217.1,210.72,216.87,1924509,3.61,1.69,214.4875
ZS,2025-02-14,214.5,215.0,210.27,212.7,1761900,-1.8,-0.83916,213.1175
ZS,2025-02-13,212.59,215.0,207.63,214.84,2100738,2.25,1.06,212.515
ZS,2025-02-12,206.77,211.37,204.64,211.14,1368100,4.37,2.11,208.48
ZS,2025-02-11,210.0,211.3,207.06,209.24,1682400,-0.76,-0.3619,209.4
ZS,2025-02-10,209.29,212.69,207.48,212.53,1356400,3.24,1.55,210.4975
ZS,2025-02-07,207.02,210.23,204.42,205.53,1480305,-1.49,-0.71974,206.8
ZS,2025-02-06,204.98,205.62,201.73,204.23,1268200,-0.75,-0.36589,204.14
ZS,2025-02-05,203.16,205.32,201.16,204.99,1244560,1.83,0.90077,203.6575
ZS,2025-02-04,199.06,203.86,198.2,203.73,1073900,4.67,2.35,201.2125
ZS,2025-02-03,198.88,202.37,196.96,200.0,1149300,1.12,0.56315,199.5525
ZS,2025-01-31,204.86,208.13,200.75,202.59,1105762,-2.27,-1.11,204.0825
ZS,2025-01-30,200.0,205.0,199.58,202.83,804663,2.83,1.42,201.8525
ZS,2025-01-29,203.87,204.0,199.92,201.63,1758734,-2.24,-1.1,202.355
ZS,2025-01-28,191.74,205.57,189.2,204.68,2830723,12.94,6.75,197.7975
ZS,2025-01-27,188.29,198.0,188.18,191.24,1725444,2.95,1.57,191.4275
ZS,2025-01-24,193.62,196.95,193.33,193.47,1184110,-0.15,-0.07747134,194.3425
